Citance Number: 1 | Reference Article:  P02-1018.txt | Citing Article:  P03-1055.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Johnson (2002) proposes an algorithm that is able to find long-distance dependencies, as a post processing step, after parsing.</S> | Reference Offset:  ['5','8'] | Reference Text:  <S sid = 5 ssid = >One of the main motivations for research on parsing is that syntactic structure provides important information for semantic interpretation; hence syntactic parsing is an important first step in a variety of useful tasks.</S><S sid = 8 ssid = >This paper describes a simple patternmatching algorithm for post-processing the output of such parsers to add a wide variety of empty nodes to its parse trees.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P02-1018.txt | Citing Article:  P03-1055.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As our interest lies in trace detection and antecedent recovery, we adopt the evaluation measures introduced by Johnson (2002).</S> | Reference Offset:  ['15','98'] | Reference Text:  <S sid = 15 ssid = >The standard Parseval precision and recall measures for evaluating parse accuracy do not measure the accuracy of empty node and antecedent recovery, but there is a fairly straightforward extension of them that can evaluate empty node and antecedent recovery, as described in section 3.</S><S sid = 98 ssid = >The first, which measures the accuracy of empty node recovery but not co-indexation, is just the standard Parseval evaluation applied to empty nodes only, viz., precision and recall and scores derived from these.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P02-1018.txt | Citing Article:  P03-1055.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['48','131'] | Reference Text:  <S sid = 48 ssid = >The accuracy of transitivity labelling was not systematically evaluated here.</S><S sid = 131 ssid = >Possibly there is a way to use both skeletal and the original kind of patterns in a single system.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P02-1018.txt | Citing Article:  P03-1055.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In this section, we validate the two-step approach, by applying the parser to the output of the trace tagger, and comparing the antecedent recovery accuracy to Johnson (2002).</S> | Reference Offset:  ['3','15'] | Reference Text:  <S sid = 3 ssid = >This paper also proposes an evaluation procedure for empty node recovery procedures which is independent of most of the details of phrase structure, which makes it possible to compare the performance of empty node recovery on parser output with the empty node annotations in a goldstandard corpus.</S><S sid = 15 ssid = >The standard Parseval precision and recall measures for evaluating parse accuracy do not measure the accuracy of empty node and antecedent recovery, but there is a fairly straightforward extension of them that can evaluate empty node and antecedent recovery, as described in section 3.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P02-1018.txt | Citing Article:  P03-1055.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['48','131'] | Reference Text:  <S sid = 48 ssid = >The accuracy of transitivity labelling was not systematically evaluated here.</S><S sid = 131 ssid = >Possibly there is a way to use both skeletal and the original kind of patterns in a single system.</S> | Discourse Facet:  NA | Annotator: Automatic


