Citance Number: 1 | Reference Article:  W09-1401.txt | Citing Article:  P14-1049.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Due to the increasing demand on deep understanding of natural language text, negation recognition has been drawing more and more attention in recent years, with a series of shared tasks and workshops, however, with focus on cue detection and scope resolution, such as the BioNLP 2009 shared task for negative event detection (Kim et al, 2009) and the ACL 2010 Workshop for scope resolution of negation and speculation (Morante and Sporleder, 2010), followed by a special issue of Computational Linguistics (Morante and Sporleder, 2012) for modality and negation.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Negation/Speculation detection detection of negations and speculation statements concerning extracted events.</S><S sid = NA ssid = NA>Core event detection detection of typed, text-bound events and assignment of given proteins as their primary arguments.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W09-1401.txt | Citing Article:  W10-1906.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In the BioNLP 09 Shared Task on Event Extraction (Kim et al, 2009), the most frequent predicates were nominals.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Overview of BioNLP&rsquo;09 Shared Task on Event Extraction</S><S sid = NA ssid = NA>For details, we refer to (Ohta et al., 2009).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W09-1401.txt | Citing Article:  W10-1904.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The BioNLP 09 Shared Task on Event Extraction (Kim et al, 2009), the first large scale evaluation of biomedical event extraction systems, drew the participation of 24 groups and established a standard event representation scheme and datasets.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Overview of BioNLP&rsquo;09 Shared Task on Event Extraction</S><S sid = NA ssid = NA>However, as both express the same event, in the shared task evaluation either alternative was accepted as correct extraction of the event.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W09-1401.txt | Citing Article:  W11-1820.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The BioNLP 09 Shared Task (Kim et al., 2009) was the first shared task that provided a consistent data set and evaluation tools for extraction of such biological relations.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Although both alternatives are reasonable, the need to have consistent training and evaluation data requires a consistent choice to be made for the shared task.</S><S sid = NA ssid = NA>Overview of BioNLP&rsquo;09 Shared Task on Event Extraction</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  W09-1401.txt | Citing Article:  W11-1805.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The inclusion of full papers in the datasets is the only difference from Task of the BioNLP 2009 shared task (BioNLP09ST1) (Kim et al., 2009), which used the same task definition and abstracts dataset.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Task 3.</S><S sid = NA ssid = NA>Task 2.</S> | Discourse Facet:  NA | Annotator: Automatic


