Citance Number: 1 | Reference Article:  W09-1304.txt | Citing Article:  W10-3103.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The BioScope corpus has been used to train and evaluate automatic classifiers (e.g. Ozgur and Radev (2009) and Morante and Daelemans (2009)) with promising results.</S> | Reference Offset:  ['21','110'] | Reference Text:  <S sid = 21 ssid = >The system is based on a similar system that finds the scope of negation cues (Morante and Daelemans, 2009).</S><S sid = 110 ssid = >We have used the same features used for the system that finds the scope of negation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W09-1304.txt | Citing Article:  W10-3001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Using BioScope for training and evaluation, Morante and Daelemans (2009) developed a scope detector following a supervised sequence labeling approach while Ozgur and Radev (2009) developed a rule-based system that exploits syntactic patterns.</S> | Reference Offset:  ['21','27'] | Reference Text:  <S sid = 21 ssid = >The system is based on a similar system that finds the scope of negation cues (Morante and Daelemans, 2009).</S><S sid = 27 ssid = >In Section 3, we describe the corpus on which the system has been developed.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W09-1304.txt | Citing Article:  W10-3001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Most systems following Morante and Daelemans (2009) used three class labels (F) IRST, (L) AST and NONE.</S> | Reference Offset:  ['21','110'] | Reference Text:  <S sid = 21 ssid = >The system is based on a similar system that finds the scope of negation cues (Morante and Daelemans, 2009).</S><S sid = 110 ssid = >We have used the same features used for the system that finds the scope of negation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W09-1304.txt | Citing Article:  W10-3020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The following summarizes the steps we took to achieve this goal. Similarly to previous work in hedge cue detection (Morante and Daelemans, 2009), we first convert the task into a sequential labeling task based on the BIO scheme, where each word in a hedge cue is labeled as B-CUE, I-CUE, or O, indicating respectively the labeled word is at the beginning of a cue, inside of a cue, or outside of a hedge cue; this is similar to the tagging scheme from the CoNLL-2001 shared task.</S> | Reference Offset:  ['85','86'] | Reference Text:  <S sid = 85 ssid = >In this phase, a classifier predicts for all tokens in a sentence whether a token is the first token of a hedge cue (B-cue), inside a hedge cue (I-cue), or outside of it (O-cue).</S><S sid = 86 ssid = >For sentence (3) the system assigns the B-cue class to indicate, the I-cue class to that and the O-cue class to the rest of tokens.</S> | Discourse Facet:  NA | Annotator: Automatic


