Citance Number: 1 | Reference Article:  W01-0511.txt | Citing Article:  P02-1032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In previous work (Rosario and Hearst, 2001), we demonstrated the utility of using a lexical hierarchy for assigning relations to two-word noun compounds.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Classifying The Semantic Relations In Noun Compounds Via A Domain-Specific Lexical Hierarchy</S><S sid = NA ssid = NA>In Section 5 we describe the method for automatically assigning semantic relations to noun compounds, and report the results of experiments using this method.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W01-0511.txt | Citing Article:  W06-1208.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Finally, Rosario and Hearst (2001) make use of a domain-specific lexical resource to classify according to neural networks and decision trees.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Classifying The Semantic Relations In Noun Compounds Via A Domain-Specific Lexical Hierarchy</S><S sid = NA ssid = NA>In particular, we used neural networks to classify across all relations simultaneously. shown in boldface are those used in the experiments reported on here.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W01-0511.txt | Citing Article:  W07-2003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Rosario and Hearst (2001) classify noun compounds from the domain of medicine, using 13 classes that describe the semantic relation between the head noun and the modifier in a given noun compound.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Classifying The Semantic Relations In Noun Compounds Via A Domain-Specific Lexical Hierarchy</S><S sid = NA ssid = NA>We have found that we can use such algorithms to classify relationships between two-word noun compounds with a surprising degree of accuracy.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W01-0511.txt | Citing Article:  H05-1112.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This includes the seminal paper of (Gildea and Jurafsky, 2002), Senseval and Conll competitions on automatic labeling of semantic roles detection of noun compound semantics (Lapata, 2000), (Rosario and Hearst, 2001) and many others.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Labeling was done by the authors of this paper and a biology student; the NCs were classified out of context.</S><S sid = NA ssid = NA>Thus, we think this is a promising approach for a variety of semantic labeling tasks.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  W01-0511.txt | Citing Article:  C08-1114.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Rosario and Hearst (2001) constructed feature vectors for each noun modifier pair using MeSH (Medical Subject Headings) and UMLS (Unified Medical Language System) as lexical resources.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The Unified Medical Language System (UMLS) is a biomedical lexical resource produced and maintained by the National Library of Medicine (Humphreys et al., 1998).</S><S sid = NA ssid = NA>In Table 3 we report the length of the feature vectors for one noun for each model.</S> | Discourse Facet:  NA | Annotator: Automatic


