Citance Number: 1 | Reference Article:  C04-1041.txt | Citing Article:  W04-3215.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The CCG parser used here (Clark and Curran, 2004b) is highly accurate and efficient, recovering labelled dependencies with an overall F-score of over 84% on WSJ text, and parsing up to 50 sentences per second.</S> | Reference Offset:  ['51','124'] | Reference Text:  <S sid = 51 ssid = >This simple approach has the advantage of being very efficient, and we findthat it is accurate enough to enable highly accu rate parsing.</S><S sid = 124 ssid = >In Clark andCurran (2004) we show that the parsing model re sulting from training data generated in this way produces state-of-the-art CCG dependency recovery: 84.6 F-score over labelled dependencies.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  C04-1041.txt | Citing Article:  W04-3215.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The parser used in this paper is described in Clark and Curran (2004b).</S> | Reference Offset:  ['27','66'] | Reference Text:  <S sid = 27 ssid = >Here we use the Maximum En tropy models described in Curran and Clark (2003).</S><S sid = 66 ssid = >The parser is described in detail in Clark and Curran (2004).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  C04-1041.txt | Citing Article:  W04-3215.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A Maximum Entropy CCG supertagger (Clark and Curran, 2004a) is used to assign the categories.</S> | Reference Offset:  ['17','27'] | Reference Text:  <S sid = 17 ssid = >To achieve maximum speed, the supertagger initially assigns only a small number of CCG categories toeach word, and the parser only requests more cate gories from the supertagger if it cannot provide an analysis.</S><S sid = 27 ssid = >Here we use the Maximum En tropy models described in Curran and Clark (2003).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  C04-1041.txt | Citing Article:  W04-3215.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In Clark and Curran (2004b) we investigate several log-linear parsing models for CCG.</S> | Reference Offset:  ['69','78'] | Reference Text:  <S sid = 69 ssid = >Clark and Curran (2004) evaluate a number of log-linear parsing models for CCG.</S><S sid = 78 ssid = >In Clark and Curran (2004) we describe a discrim inative method for estimating the parameters of a log-linear parsing model.</S> | Discourse Facet:  NA | Annotator: Automatic


