Citance Number: 1 | Reference Article:  P99-1067.txt | Citing Article:  C02-1008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >On the other hand, the alternative approach using comparable or unrelated text corpora were studied by Rapp (1999) and Fung et al (1998).</S> | Reference Offset:  ['31','151'] | Reference Text:  <S sid = 31 ssid = >It can be expected that this clue will work best with parallel corpora, second-best with comparable corpora, and somewhat worse with unrelated corpora.</S><S sid = 151 ssid = >On the one hand, their task was more difficult because they worked on a pair of unrelated languages (English/Japanese) using smaller corpora and a random selection of test words, many of which were multi-word terms.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P99-1067.txt | Citing Article:  W11-1205.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For instance, good results are obtained from large corpora several million words for which the accuracy of the proposed translation is between 76% (Fung, 1998) and 89% (Rapp, 1999) for the first 20 candidates.</S> | Reference Offset:  ['124','149'] | Reference Text:  <S sid = 124 ssid = >Table 1 shows the results for 20 of the 100 German test words.</S><S sid = 149 ssid = >This was true in 89 cases.5 For comparison, Fung & McKeown (1997) report an accuracy of about 30% when only the top candidate is counted.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P99-1067.txt | Citing Article:  I08-1053.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This can be accomplished as in Rapp (1999) and Schafer and Yarowsky (2002) by creating bag-of-words context vectors around both the source and target language words and then projecting the source vectors into the (English) target space via the current small translation dictionary.</S> | Reference Offset:  ['48','51'] | Reference Text:  <S sid = 48 ssid = >We translate all known words in this vector to the target language.</S><S sid = 51 ssid = >With the resulting vector, we now perform a similarity computation to all vectors in the co-occurrence matrix of the target language.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P99-1067.txt | Citing Article:  C04-1149.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Here, a standard technique of estimating bilingual term correspondences from com parable corpora (e.g., Fung and Yee (1998) and Rapp (1999)) is employed.</S> | Reference Offset:  ['35','121'] | Reference Text:  <S sid = 35 ssid = >After an attempt with a context heterogeneity measure (Fung, 1995) for identifying word translations, Fung based her later work also on the co-occurrence assumption (Fung & Yee, 1998; Fung & McKeown, 1997).</S><S sid = 121 ssid = >Another approach, as conducted by Fung & Yee (1998), would be to consider all possible translations listed in the lexicon and to give them equal (or possibly descending) weight.</S> | Discourse Facet:  NA | Annotator: Automatic


