Citance Number: 1 | Reference Article:  D08-1024.txt | Citing Article:  N09-1025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>To remedy this problem, Chiang et al (2008) introduce a structural distortion model, which we include in our experiment.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>First, we generalize Marton and Resnik’s (2008) soft syntactic constraints by training all of them simultaneously; and, second, we introduce a novel structural distortion model.</S><S sid = NA ssid = NA>We then define coarse- and fine-grained versions of the structural distortion model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  D08-1024.txt | Citing Article:  N12-1026.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>As proposed by Haddow et al (2011), BLEU is approximately computed in the local batch, since BLEU is not linearly decomposed into a sentence wise score (Chiang et al, 2008a), and optimization for sentence-BLEU does not always achieve optimal parameters for corpus-BLEU.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>These counts are sufficient to calculate a BLEU score, which we write as BLEU(c(e)).</S><S sid = NA ssid = NA>Sentence-level approximations to BLEU exist (Lin and Och, 2004; Liang et al., 2006), but we found it most effective to perform BLEU computations in the context of a set O of previously-translated sentences, following Watanabe et al. (2007).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  D08-1024.txt | Citing Article:  P11-1001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>An alternative way of accounting for phrase size is presented by Chiang et al (2008), who introduce structural distortion features into a hierarchical phrase-based model, aimed at modeling nonterminal reordering given source span length.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In a phrase-based model, reordering is performed both within phrase pairs and by the phrasereordering model.</S><S sid = NA ssid = NA>Finally, we have introduced novel structural distortion features to fill a notable gap in the hierarchical phrase-based approach.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  D08-1024.txt | Citing Article:  D12-1037.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>MBUU is a batch update mode which updates the weight with all training examples, but MIRA is an online one which updates with each example (Watanabe et al 2007) or part of examples (Chiang et al 2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This paper continues a line of research on online discriminative training (Tillmann and Zhang, 2006; Liang et al., 2006; Arun and Koehn, 2007), extending that of Watanabe et al. (2007), who use the Margin Infused Relaxed Algorithm (MIRA) due to Crammer et al.</S><S sid = NA ssid = NA>Building on the work of Watanabe et al., we explore the use of the MIRA algorithm of Crammer et al. as an alternative to MERT.</S> | Discourse Facet:  NA | Annotator: Automatic


