Citance Number: 1 | Reference Article:  P00-1041.txt | Citing Article:  W09-2807.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >One could rely on existing trainable sentence selection (Kupiec et al., 1995) or even phrase selection (Banko et al., 2000) strategies to pick up appropriate βi's from the document to be abstracted and rely on recent information ordering techniques to sort the βi fragments (Lapata, 2003).</S> | Reference Offset:  ['1','17'] | Reference Text:  <S sid = 1 ssid = >Extractive summarization techniques cannot generate document summaries shorter than a single sentence, something that is often required.</S><S sid = 17 ssid = >More recently, summarizers using sophisticated postextraction strategies, such as revision (McKeown et al., 1999; Jing and McKeown, 1999; Mani et al., 1999), and sophisticated grammar-based generation (Radev and McKeown, 1998) have also been presented.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P00-1041.txt | Citing Article:  W04-3216.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Some researchers (Banko et al, 2000) have developed simple statistical models for aligning documents and headlines.</S> | Reference Offset:  ['13','91'] | Reference Text:  <S sid = 13 ssid = >It does so by building statistical models for content selection and surface realization.</S><S sid = 91 ssid = >We then tested mixtures of the lexical and POS models, lexical and positional models, and all three models combined together.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P00-1041.txt | Citing Article:  P07-1069.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The second baseline is based on the noisy-channel generative (flat generative, FG) model proposed by Banko et al, (2000).</S> | Reference Offset:  ['0','17'] | Reference Text:  <S sid = 0 ssid = >Headline Generation Based On Statistical Translation</S><S sid = 17 ssid = >More recently, summarizers using sophisticated postextraction strategies, such as revision (McKeown et al., 1999; Jing and McKeown, 1999; Mani et al., 1999), and sophisticated grammar-based generation (Radev and McKeown, 1998) have also been presented.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P00-1041.txt | Citing Article:  N07-1056.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our method for estimation of selection and ordering preferences is based on the technique described in (Banko et al, 2000).</S> | Reference Offset:  ['0','41'] | Reference Text:  <S sid = 0 ssid = >Headline Generation Based On Statistical Translation</S><S sid = 41 ssid = >Finally, to simplify parameter estimation for the content selection model, we can assume that the likelihood of a word in the summary is independent of other words in the summary.</S> | Discourse Facet:  NA | Annotator: Automatic


