Citance Number: 1 | Reference Article:  P09-1113.txt | Citing Article:  C10-1018.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Additionally, researchers have tried to automatically extract examples for supervised learning from resources such as Wikipedia (Weld et al,2008) and databases (Mintz et al, 2009), or attempted open information extraction (IE) (Banko et al, 2007) to extract all possible relations.</S> | Reference Offset:  ['10','45'] | Reference Text:  <S sid = 10 ssid = >ACE systems then extract a wide variety of lexical, syntactic, and semantic features, and use supervised classifiers to label the relation mention holding between a given pair of entities in a test set sentence, optionally combining relation mentions (Zhou et al., 2005; Zhou et al., 2007; Surdeanu and Ciaramita, 2007).</S><S sid = 45 ssid = >(2005) and Zhou et al. (2007).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P09-1113.txt | Citing Article:  P14-1077.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It is a modification of the model proposed by Mintz et al (2009).</S> | Reference Offset:  ['38','45'] | Reference Text:  <S sid = 38 ssid = >Approaches based on WordNet have often only looked at the hypernym (is-a) or meronym (part-of) relation (Girju et al., 2003; Snow et al., 2005), while those based on the ACE program (Doddington et al., 2004) have been restricted in their evaluation to a small number of relation instances and corpora of less than a million words.</S><S sid = 45 ssid = >(2005) and Zhou et al. (2007).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P09-1113.txt | Citing Article:  P11-1055.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >However, Riedel et al's model (like that of previous systems (Mintz et al, 2009)) assumes that relations do not overlap there can not exist two facts r (e1, e2) and q (e1, e2) that are both true for any pair of entities, e1 and e2.</S> | Reference Offset:  ['10','45'] | Reference Text:  <S sid = 10 ssid = >ACE systems then extract a wide variety of lexical, syntactic, and semantic features, and use supervised classifiers to label the relation mention holding between a given pair of entities in a test set sentence, optionally combining relation mentions (Zhou et al., 2005; Zhou et al., 2007; Surdeanu and Ciaramita, 2007).</S><S sid = 45 ssid = >(2005) and Zhou et al. (2007).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P09-1113.txt | Citing Article:  P11-1055.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We will make use of the Mintz et al (2009) sentence-level features in the expeiments, as described in Section 7.</S> | Reference Offset:  ['102','136'] | Reference Text:  <S sid = 102 ssid = >Rather than use each of the above features in the classifier independently, we use only conjunctive features.</S><S sid = 136 ssid = >We discuss the results in the next section.</S> | Discourse Facet:  NA | Annotator: Automatic


