Citance Number: 1 | Reference Article:  P98-1069.txt | Citing Article:  C02-2020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Fung and Yee (1998) demonstrated that the associations between a word and its context seed words are preserved in comparable texts of different languages.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this paper, we have demonstrated that the associations between a word and its context seed words are well-preserved in nonparallel, comparable texts of different languages.</S><S sid = NA ssid = NA>Among these, (Rapp, 1995) proposes that the association between a word and its close collocate is preserved in any language. and (Fung and McKeown, 1997) suggests that the associations between a word and many seed words are also preserved in another language.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P98-1069.txt | Citing Article:  C02-2020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The material for the present experiments consists of comparable medical corpora in French and English and a French-English medical lexicon (Fung and Yee (1998) call its words seed words?).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This algorithm can be applied to other language pairs such as English-French or English-German.</S><S sid = NA ssid = NA>Most importantly, we can assume that the word boundaries are similar in French and English.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P98-1069.txt | Citing Article:  C02-2020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This algorithm can also be applied in an iterative fashion where high-ranking bilingual word pairs can be added to the seed word list, which in turn can yield more new bilingual word pairs.</S><S sid = NA ssid = NA>In these cases, since the languages are more similar linguistically and the seed word lexicon is more reliable, the algorithm should yield better results.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P98-1069.txt | Citing Article:  C02-2020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>An additional difference with Fung and Yee (1998) is that they look for translational equivalents only among words that are unknown in both corpora.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Disregarding all entries with a * in the above table, we apply the algorithm to the rest of the Chinese unknown words and the 118 English unknown words from HKStandard.</S><S sid = NA ssid = NA>The unknown Chinese words and their English counterparts, as well as the occurrence frequencies of these words in HKStandard/Mingpao are shown in Table 4.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P98-1069.txt | Citing Article:  W03-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Comparable corpora have primarily been used to build bilingual lexical resources (Fung and Yee, 1998).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our goal is to alleviate this effort and enlarge the scope of corpus resources by looking into monolingual, comparable texts.</S><S sid = NA ssid = NA>These word pairs are used as seed words.</S> | Discourse Facet:  NA | Annotator: Automatic


