Citance Number: 1 | Reference Article:  P06-1009.txt | Citing Article:  P14-1138.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >These models are roughly clustered into two groups: generative models, such as those proposed by Brown et al (1993), Vogel et al (1996), and Och and Ney (2003), and discriminative models, such as those proposed by Taskar et al (2005), Moore (2005), and Blunsom and Cohn (2006).</S> | Reference Offset:  ['10','170'] | Reference Text:  <S sid = 10 ssid = >Most current SMT systems (Och and Ney, 2004; Koehn et al., 2003) use a generative model for word alignment such as the freely available GIZA++ (Och and Ney, 2003), an implementation of the IBM alignment models (Brown et al., 1993).</S><S sid = 170 ssid = >Recently, a number of discriminative word alignment models have been proposed, however these early models are typically very complicated with many proposing intractable problems which require heuristics for approximate inference (Liu et al., 2005; Moore, 2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P06-1009.txt | Citing Article:  P08-1024.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Such approaches have been shown to be effective in log-linear word alignment models where only a small supervised corpus is available (Blunsom and Cohn, 2006).</S> | Reference Offset:  ['2','188'] | Reference Text:  <S sid = 2 ssid = >We use a Conditional Random Field (CRF), a discriminative model, which is estimated on a small supervised training set.</S><S sid = 188 ssid = >These models allow for the use of arbitrary and overlapping features over the source and target sentences, making the most of small supervised training sets.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P06-1009.txt | Citing Article:  W08-0303.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The one most similar to ours is the one presented by Blunsom and Cohn (2006).</S> | Reference Offset:  ['182','186'] | Reference Text:  <S sid = 182 ssid = >The results presented in this paper were evaluated in terms of AER.</S><S sid = 186 ssid = >We have presented a novel approach for inducing word alignments from sentence aligned data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P06-1009.txt | Citing Article:  D09-1014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Labeled alignments are also used by Blunsom and Cohn (2006) to train a CRF word alignment model.</S> | Reference Offset:  ['34','187'] | Reference Text:  <S sid = 34 ssid = >We use a CRF to model many-to-one word alignments, where each source word is aligned with zero or one target words, and therefore each target word can be aligned with many source words.</S><S sid = 187 ssid = >We showed how conditional random fields could be used for word alignment.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P06-1009.txt | Citing Article:  N10-1063.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The model is similar to the discriminative CRF-based word alignment model of (Blunsom and Cohn, 2006).</S> | Reference Offset:  ['0','20'] | Reference Text:  <S sid = 0 ssid = >Discriminative Word Alignment With Conditional Random Fields</S><S sid = 20 ssid = >This paper presents an alternative discriminative method for word alignment.</S> | Discourse Facet:  NA | Annotator: Automatic


