Citance Number: 1 | Reference Article:  W00-0726.txt | Citing Article:  N01-1025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This data set was used for CoNLL-2000 shared task (Tjong Kim Sang and Buchholz, 2000).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Introduction To The CoNLL-2000 Shared Task: Chunking</S><S sid = NA ssid = NA>Both he and Buchholz et al. use data generated by the script that produced the CoNLL-2000 shared task data sets.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W00-0726.txt | Citing Article:  N12-1050.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Text chunking consists of dividing text into syntactically related non overlapping groups of words (Tjong Kim Sang and Buchholz, 2000).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We have presented an introduction to the CoNLL-2000 shared task: dividing text into syntactically related non-overlapping groups of words, so-called text chunking.</S><S sid = NA ssid = NA>Text chunking consists of dividing a text into phrases in such a way that syntactically related words become member of the same phrase.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W00-0726.txt | Citing Article:  P07-1120.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Unlike the shallow phrases defined for the CoNLL-2000 Shared Task (Tjong Kim Sang and Buchholz, 2000), base phrases correspond directly to constituents that appear in full parses, and hence can provide a straightforward constraint on edges within a chart parser.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Introduction To The CoNLL-2000 Shared Task: Chunking</S><S sid = NA ssid = NA>The CoNLL-2000 shared task attempts to fill this gap.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W00-0726.txt | Citing Article:  P03-1059.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For the chunker, we ran fnTBL over the lemmatised tagged data, training over CoNLL 2000 style (Tjong Kim Sang and Buchholz, 2000) chunk converted versions of the full Brown and WSJ corpora.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>An overview of the chunk types in the training data can be found in table 1.</S><S sid = NA ssid = NA>Both he and Buchholz et al. use data generated by the script that produced the CoNLL-2000 shared task data sets.</S> | Discourse Facet:  NA | Annotator: Automatic


