Citance Number: 1 | Reference Article:  W06-2501.txt | Citing Article:  W06-1605.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Patwardhan and Pedersen (2006) create aggregate co-occurrence vectors for a WordNet sense by adding the co-occurrence vectors of the words in its WordNet gloss.</S> | Reference Offset:  ['47','184'] | Reference Text:  <S sid = 47 ssid = >In this research, we create a Gloss Vector for each concept (or word sense) represented in a dictionary.</S><S sid = 184 ssid = >Each concept in LDOCE is then represented by an aggregate vector created by adding the co–occurrence counts for each of the words in the augmented definition of the concept.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W06-2501.txt | Citing Article:  P14-2087.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >An extension by Patwardhan and Pedersen (2006) differentiated context word senses and extended shorter glosses with related glosses in WordNet.</S> | Reference Offset:  ['91','192'] | Reference Text:  <S sid = 91 ssid = >This simple definition is extended to take advantage of the complex network of relations in WordNet, and allows the glosses of concepts to include the glosses of synsets to which they are directly related in WordNet.</S><S sid = 192 ssid = >Secondly, we use the structure of WordNet to augment the short glosses with other related glosses.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W06-2501.txt | Citing Article:  P07-2038.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['79','213'] | Reference Text:  <S sid = 79 ssid = >Below we briefly describe five alternative measures of semantic relatedness, and then go on to include them as points of comparison in our experimental evaluation of the Gloss Vector measure.</S><S sid = 213 ssid = >All of the experiments in this paper were carried out with the WordNet::Similarity package, which is freely available for download from http://search.cpan.org/dist/WordNet-Similarity.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W06-2501.txt | Citing Article:  P07-2038.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >One possible explanation for the unsuitability of the measures of (Patwardhan and Pedersen, 2006) for the coordinate similarity task could be based on how context is defined when building context vectors.</S> | Reference Offset:  ['71','129'] | Reference Text:  <S sid = 71 ssid = >However, dictionary glosses tend to be rather short, and it is possible that even closely related concepts will be defined using different sets of words.</S><S sid = 129 ssid = >Banerjee and Pedersen attempt to perform this task by measuring the relatedness of the senses of the target word to those of the words in its context.</S> | Discourse Facet:  NA | Annotator: Automatic


