Citance Number: 1 | Reference Article:  W03-0428.txt | Citing Article:  W03-0419.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Klein et al (2003) also applied the related Conditional Markov Models for combining classifiers.</S> | Reference Offset:  ['20','65'] | Reference Text:  <S sid = 20 ssid = >In addition to this HMM view, it may also be convenient to think of the local emission models as type-conditional -gram models.</S><S sid = 65 ssid = >Sequence-sensitive features can be included by chaining our local classifiers together and performing joint inference, i.e., by building a conditional markov model (CMM), also known as a maximum entropy markov model (McCallum et al., 2000).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W03-0428.txt | Citing Article:  W03-0419.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Klein et al (2003) employed a stacked learning system which contains Hidden Markov Models, Maximum Entropy Models and Conditional Markov Models.</S> | Reference Offset:  ['20','65'] | Reference Text:  <S sid = 20 ssid = >In addition to this HMM view, it may also be convenient to think of the local emission models as type-conditional -gram models.</S><S sid = 65 ssid = >Sequence-sensitive features can be included by chaining our local classifiers together and performing joint inference, i.e., by building a conditional markov model (CMM), also known as a maximum entropy markov model (McCallum et al., 2000).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W03-0428.txt | Citing Article:  W03-0419.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Here there is no significant difference between them and the systems of Klein et al (2003) and Zhang and Johnson (2003).</S> | Reference Offset:  ['8','54'] | Reference Text:  <S sid = 8 ssid = >A common approach is to extract word-internal features from unknown words, for example suffix, capitalization, or punctuation features (Mikheev, 1997, Wacholder et al., 1997, Bikel et al., 1997).</S><S sid = 54 ssid = >Given the amount of improvement from using a model backed by character -grams instead of word -grams, the immediate question is whether this benefit is complementary to the benefit from features which have traditionally been of use in word level systems, such as syntactic context features, topic features, and so on.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W03-0428.txt | Citing Article:  W03-0419.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The performance of the system of Chieu et al (2003) was not significantly different from the best performance for English and the method of Klein et al (2003) and the approach of Zhang and Johnson (2003) were not significantly worse than the best result for German.</S> | Reference Offset:  ['52','82'] | Reference Text:  <S sid = 52 ssid = >However, this reduced performance (by 2.0% with context on).</S><S sid = 82 ssid = >In the final, much richer chained maxent setting, the reduction from the best model minus -gram features to the reported best model was about 25% – smaller, but still substantial.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  W03-0428.txt | Citing Article:  P05-1001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['30','83'] | Reference Text:  <S sid = 30 ssid = >We then use empirical, unsmoothed estimates for statestate transitions.</S><S sid = 83 ssid = >This paper also again demonstrates how the ease of incorporating features into a discriminative maxent model allows for productive feature engineering.</S> | Discourse Facet:  NA | Annotator: Automatic


