Citance Number: 1 | Reference Article:  N04-1030.txt | Citing Article:  C04-1197.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Note that the result here is not comparable with the best in this domain (Pradhan et al., 2004) where the full parse tree is assumed given.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The Surdeanu et al System.</S><S sid = NA ssid = NA>Path ? The syntactic path through the parse tree from the parse constituent to the predicate being classified.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  N04-1030.txt | Citing Article:  P14-2124.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We would like to thank Ralph Weischedel and Scott Miller ofBBN Inc. for letting us use their named entity tagger ? Iden tiFinder; Martha Palmer for providing us with the PropBank data, Valerie Krugler for tagging the AQUAINT test set with PropBank arguments, and all the anonymous reviewers for their helpful comments.</S><S sid = NA ssid = NA>7.2 New Features.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  N04-1030.txt | Citing Article:  P07-1071.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Using this intuition, state-of-the-art systems first build a parse tree, and syntactic constituents are then labeled by feeding hand-built features extracted from the parse tree to a machine learning system, e.g. the ASSERT system (Pradhan et al, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Path ? The syntactic path through the parse tree from the parse constituent to the predicate being classified.</S><S sid = NA ssid = NA>Surdeanu et al (2003) report results on two systems using a decision tree classifier.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  N04-1030.txt | Citing Article:  P07-1071.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We would like to thank Ralph Weischedel and Scott Miller ofBBN Inc. for letting us use their named entity tagger ? Iden tiFinder; Martha Palmer for providing us with the PropBank data, Valerie Krugler for tagging the AQUAINT test set with PropBank arguments, and all the anonymous reviewers for their helpful comments.</S><S sid = NA ssid = NA>7.2 New Features.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  N04-1030.txt | Citing Article:  P07-1071.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We compared our system to the freely available Assert system (Pradhan et al, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The Surdeanu et al System.</S><S sid = NA ssid = NA>A larger, cleaner, completely adjudicated version of PropBank was made available in Feb 2004.</S> | Discourse Facet:  NA | Annotator: Automatic


