Citance Number: 1 | Reference Article:  W97-0109.txt | Citing Article:  P00-1014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The state of the art is a supervised algorithm that employs a semantically tagged corpus (Stetina and Nagao, 1997).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We propose a new supervised learning method for PPattachment based on a semantically tagged corpus.</S><S sid = NA ssid = NA>Unfortunately, at the time of writing this work, a sufficiently big corpus which was both syntactically analysed and semantically tagged did not exist.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W97-0109.txt | Citing Article:  P00-1014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>clSN induces a decision tree with a sense-tagged corpus, using a semantic dictionary (Stetina and Nagao, 1997 ).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Corpus Based PP Attachment Ambiguity Resolution With A Semantic Dictionary</S><S sid = NA ssid = NA>Because the induction of the decision tree for the PP attachment is based on a supervised learning from sense-tagged examples, it was necessary to sense-disambiguate the entire training set.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W97-0109.txt | Citing Article:  P14-3010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>At the other extreme, Stetina and Nagao (1997) developed a customized, explicit WSD algorithm as part of their decision tree system.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This is because at the top of the decision tree all of the semantic tops of all of the content words of the given quadruple are compared with the semantic generalisations of the training examples represented through the nodes of the decision tree.</S><S sid = NA ssid = NA>The decision tree therefore represents a very useful mechanism for determining the semantic level at which the decision on the PP attachment is made.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W97-0109.txt | Citing Article:  P14-3010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Stetina and Nagao (1997) trained on a version of the Ratnaparkhi et al (1994) dataset that contained modifications similar to those by Collins and Brooks (1995) and excluded forms not present in WordNet.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>As we have already mentioned, Collins and Brooks [C&B951 based their method on matching the testing quadruples against the set of training examples.</S><S sid = NA ssid = NA>Collins and Brooks' have also demonstrated the importance of low count events in training data by an experiment where all counts less than 5 were put to zero.</S> | Discourse Facet:  NA | Annotator: Automatic


