Citance Number: 1 | Reference Article:  A94-1016.txt | Citing Article:  E06-1005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Other approaches combine lattices or N-best lists from several different MT systems (Frederking and Nirenburg, 1994).</S> | Reference Offset:  ['27','28'] | Reference Text:  <S sid = 27 ssid = >Each time, the best possible cover for each part is recursively found, and the two scores are combined to give a score for the chart walk containing the two best subwalks.</S><S sid = 28 ssid = >These different splits are then compared with each other and with components from the chart spanning the whole region (if any), and the overall best result is Without dynamic programming, this would have a D 2 combinatorial time complexity.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  A94-1016.txt | Citing Article:  W05-0828.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >that is hopefully better than any of its ingredients, an idea pionieered in (Frederking and Nirenburg, 1994).</S> | Reference Offset:  ['0','93'] | Reference Text:  <S sid = 0 ssid = >Three Heads Are Better Than One</S><S sid = 93 ssid = >A less ambitious version of this idea would be to run the low-scoring engines only where there are gaps in the normally high-scoring engines.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  A94-1016.txt | Citing Article:  D07-1030.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Frederking and Nirenburg (1994) produced the first MEMT system by combining outputs from three different MT engines based on their knowledge of the inner workings of the engines.</S> | Reference Offset:  ['92','93'] | Reference Text:  <S sid = 92 ssid = >This assumes that we can reliably estimate scores in advance (not currently true for the expensive engines), and that the engines can be run on fragments.</S><S sid = 93 ssid = >A less ambitious version of this idea would be to run the low-scoring engines only where there are gaps in the normally high-scoring engines.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  A94-1016.txt | Citing Article:  W05-1518.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Similar advances have been made in machine translation (Frederking and Nirenburg, 1994), speech recognition (Fiscus, 1997), named entity recognition (Borthwick et al, 1998), partial parsing (Inui and Inui, 2000), word sense disambiguation (Florian and Yarowsky, 2002) and question answering (Chu-Carroll et al, 2003).</S> | Reference Offset:  ['65','88'] | Reference Text:  <S sid = 65 ssid = >The main option for human interaction in TWS currently is the Component Machine-Aided Translation (CMAT) editor (Frederking et al., 1993a).</S><S sid = 88 ssid = >Instead, we are planning to use an English language model on the output, in a manner similar to that done by speech and statistical translation systems (Brown et al., 1990).</S> | Discourse Facet:  NA | Annotator: Automatic


