Citance Number: 1 | Reference Article:  N01-1024.txt | Citing Article:  W02-0604.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Schone and Jurafsky (2001) employ a great many sophisticated post-hoc adjustments to obtain the right conflation sets for words by pure corpus analysis without annotations.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We applied our system to an English corpus and evaluated by comparing each word’s conflation set as produced by our algorithm to those derivable from CELEX. word of a corpus, a complete analysis.</S><S sid = NA ssid = NA>In order to obtain semantic representations of each word, we apply our previous strategy (Schone and Jurafsky (2000)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  N01-1024.txt | Citing Article:  W04-1302.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Approaches to the induction of morphology as presented in e.g. Schone and Jurafsky (2001) or Goldsmith (2001) show that the morphological properties of a small subset of languages can be induced with high accuracy, most of the existing approaches are motivated by applied or engineering concerns, and thus make assumptions that are less cognitively plausible.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Previous morphology induction approaches have fallen into three categories.</S><S sid = NA ssid = NA>Additionally, most approaches have centered around statistics of orthographic properties.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  N01-1024.txt | Citing Article:  W04-1302.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Schone and Jurafsky (2001) select words with frequency higher than 5 to induce morphological segmentation.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>With the exception of word segmentation, we provided no human information to our system.</S><S sid = NA ssid = NA>Hence, the last category of research is also knowledge-free but attempts to induce, for each morphological variants of each other.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  N01-1024.txt | Citing Article:  W04-1302.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Presupposing input driven learning, it has been shown in the literature that initial segmenations into words (or word-like units) is possible with unsupervised methods (e.g. Brent and Cartwright (1996)), that induction of morphology is possible (e.g. Goldsmith (2001), Schone and Jurafsky (2001)) and even the induction of syntactic structures (e.g. Van Zaanen (2001)).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We have illustrated three extensions to our earlier morphology induction work (Schone and Jurafsky (2000)).</S><S sid = NA ssid = NA>In English, for example, this yielded 30535 possible rules.</S> | Discourse Facet:  NA | Annotator: Automatic


