Citance Number: 1 | Reference Article:  N04-1013.txt | Citing Article:  N07-2031.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Accuracy for XLE is not given, because the results reported by Kaplan et al (2004) compare labeled functional dependencies drawn from LFG f-structures with equivalents derived automatically from Collins outputs.</S> | Reference Offset:  ['15','178'] | Reference Text:  <S sid = 15 ssid = >We investigated the accuracy of recovering semantically-relevant grammatical dependencies from the tree-structures produced by the Collins parser, comparing these dependencies to gold-standard dependencies which are available for a subset of 700 sentences randomly drawn from section 23 of the Wall Street Journal (see King et al. (2003)).</S><S sid = 178 ssid = >We presented some experiments that compare the accuracy and performance of two stochastic parsing systems, the shallow Collins parser and the deep-grammar-based XLE system.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  N04-1013.txt | Citing Article:  W04-3223.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For estimation and best-parse searching, efficient dynamic programming techniques over features forests are employed (see Kaplan et al (2004)).</S> | Reference Offset:  ['20','84'] | Reference Text:  <S sid = 20 ssid = >The stochastic component is also “ambiguity-enabled” in the sense that the computations for statistical estimation and selection of the most probable analyses are done efficiently by dynamic programming, avoiding the need to unpack the parse forests and enumerate individual analyses.</S><S sid = 84 ssid = >In the experiments reported in this paper, however, dynamic programming is crucial for efficient stochastic disambiguation, i.e. to efficiently find the most probable parse from a packed parse forest that is annotated with feature-values.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  N04-1013.txt | Citing Article:  C04-1041.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Kaplan et al (2004) report high parsing speeds for a deep parsing system which uses an LFG grammar: 1.9 sentences per second for 560 sentences from section 23 of the Penn Treebank.</S> | Reference Offset:  ['5','94'] | Reference Text:  <S sid = 5 ssid = >We found the deep-parsing system to be more accurate than the Collins parser with only a reduction in parsing</S><S sid = 94 ssid = >The DEPBANK consists of dependency annotations for 700 sentences that were randomly extracted from section 23 of the UPenn Wall Street Journal (WSJ) treebank.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  N04-1013.txt | Citing Article:  D07-1128.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We have developed a parsing system that explores this space, in the vein of systems like (Kaplan et al, 2004).</S> | Reference Offset:  ['1','35'] | Reference Text:  <S sid = 1 ssid = >This paper reports some experiments that compare the accuracy and performance of two stochastic parsing systems.</S><S sid = 35 ssid = >The grammar used for this experiment was developed in the ParGram project (Butt et al., 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


