Citance Number: 1 | Reference Article:  J02-1003.txt | Citing Article:  C04-1171.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Therefore, van Deemter (2002) has extended the set of descriptors to boolean combinations of attributes, including negations.</S> | Reference Offset:  ['61','149'] | Reference Text:  <S sid = 61 ssid = >A is the list of Attributes; L is the set of Attribute/Value combinations returned by the algorithm.</S><S sid = 149 ssid = >, Pn whose extension equals a given target set S (van Deemter 2000).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J02-1003.txt | Citing Article:  W10-4224.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Recent extensions address some of its shortcomings, such as negated and disjoined properties (van Deemter, 2002) and an account of salience for generating contextually appropriate shorter REs (Krahmer and Theune, 2002).</S> | Reference Offset:  ['0','264'] | Reference Text:  <S sid = 0 ssid = >Generating Referring Expressions: Boolean Extensions Of The Incremental Algorithm</S><S sid = 264 ssid = >Moreover, they disregard shades of salience (unlike algorithms proposed in Krahmer and Theune [1999], Theune [2000]), relying instead on a simple dichotomy between those objects that are salient enough (which end up in the domain D) and those that are not (Reiter and Dale 2000, Section 5.4).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J02-1003.txt | Citing Article:  W06-1410.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The Context-Sensitive extension (Krahmer and Theune, 2002) is able to generate referring expressions for the most salient entity in a context; the Boolean Expressions algorithm (van Deemter, 2002) is able to derive expressions containing boolean operators, as in the cup that does not have a handle; and the Sets algorithm (van Deemter, 2002) extends the basic approach to references to sets, as in the red cups.</S> | Reference Offset:  ['0','169'] | Reference Text:  <S sid = 0 ssid = >Generating Referring Expressions: Boolean Extensions Of The Incremental Algorithm</S><S sid = 169 ssid = >Now that we are able to generate references to sets, let us move away from purely intersective descriptions, on to full Boolean combinations of properties.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J02-1003.txt | Citing Article:  W05-1606.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Recently, algorithms have been applied to the identification of sets of objects rather than individuals [Bateman 1999, Stone 2000, Krahmer, v. Erk, and Verweg 2001], and the repertoire of descriptions has been extended to boolean combinations of attributes, including negations [van Deemter 2002].</S> | Reference Offset:  ['153','263'] | Reference Text:  <S sid = 153 ssid = >Stone 2000).</S><S sid = 263 ssid = >For example, they do not involve relational descriptions (Dale and Haddock 1991; Horacek 1997; Krahmer, van Erk, and Verleg 2001) or properties that are vague or context dependent (van Deemter 2000).</S> | Discourse Facet:  NA | Annotator: Automatic


