Citance Number: 1 | Reference Article:  D07-1074.txt | Citing Article:  D07-1047.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We perform term disambiguation on each document using an entity extractor (Cucerzan, 2007).</S> | Reference Offset:  ['228','230'] | Reference Text:  <S sid = 228 ssid = >Entity-based cross- document coreferencing using the vector space model.</S><S sid = 230 ssid = >Using Encyclopedic Knowledge for Named Entity Disambiguation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  D07-1074.txt | Citing Article:  P14-2013.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >More similarity features were added by Cucerzan (2007) who realized that topical coherence between a candidate entity and other entities in the context will improve NED accuracy and by Milne and Witten (2008) who built on Cucerzan's work.</S> | Reference Offset:  ['3','51'] | Reference Text:  <S sid = 3 ssid = >Through a process of maximizing the agreement between the contextual information extracted from Wikipedia and the context of a document, as well as the agreement among the category tags associated with the candidate entities, the implemented sys- tem shows high disambiguation accuracy on both news stories and Wikipedia articles.</S><S sid = 51 ssid = >They employed several of the disambiguation resources discussed in this paper (Wikipedia entity pages, redirection pages, categories, and hyperlinks) and built a context- article cosine similarity model and an SVM based on a taxonomy kernel.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  D07-1074.txt | Citing Article:  C10-1150.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Cucerzan (2007) employed context vectors consisting of phrases and categories extracted from Wikipedia.</S> | Reference Offset:  ['48','52'] | Reference Text:  <S sid = 48 ssid = >categories in the Wikipedia category tree.</S><S sid = 52 ssid = >They evaluated their models for person name disambiguation over 110, 540, and 2,847 categories, reporting accuracies between 55.4% and 84.8% on (55-word context, entity) pairs extracted from Wikipedia, depending on the model and the development/test data employed.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  D07-1074.txt | Citing Article:  C10-1150.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This entity disambiguation data set was introduced by Cucerzan (2007).</S> | Reference Offset:  ['1','85'] | Reference Text:  <S sid = 1 ssid = >708?716, Prague, June 2007. c?2007 Association for Computational Linguistics Large-Scale Named Entity Disambiguation Based on Wikipedia Data  Silviu Cucerzan Microsoft Research One Microsoft Way, Redmond, WA 98052, USA silviu@microsoft.com  Abstract This paper presents a large-scale system for the recognition and semantic disambiguation of named entities based on information extracted from a large encyclopedic collection and Web search results.</S><S sid = 85 ssid = >(e.g., ?Texas (disambiguation)?</S> | Discourse Facet:  NA | Annotator: Automatic


