Citance Number: 1 | Reference Article:  A00-2031.txt | Citing Article:  P00-1065.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >More recently, a domain independent system has been trained on general function tags such as Manner and Temporal by Blaheta and Charniak (2000).</S> | Reference Offset:  ['54','89'] | Reference Text:  <S sid = 54 ssid = >This data is very important in distinguishing, for example, 'by John' (where John might be a logical subject) from 'by next year' (a temporal modifier) and 'by selling it' (an adverbial indicating manner).</S><S sid = 89 ssid = >On the other hand, we have the form/function tags and the 'miscellaneous' tags.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  A00-2031.txt | Citing Article:  P13-2114.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >These features are generated using the Stanford parser (Klein and Manning, 2003) and a function tagger (Blaheta and Charniak, 2000).</S> | Reference Offset:  ['103','106'] | Reference Text:  <S sid = 103 ssid = >The function tagger gave this SBAR an ADV tag, indicating an unspecified adverbial function.</S><S sid = 106 ssid = >However, this was not the conditioning information that the tagger received.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  A00-2031.txt | Citing Article:  P09-3007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In function labeling level, EXT that signifies degree, amount of the predicates should be grouped into adverbials like in the work of (Blaheta and Charniak, 2000) and (Merlo and Musillo, 2005).</S> | Reference Offset:  ['119','120'] | Reference Text:  <S sid = 119 ssid = >It is as yet unclear just to what degree these tagging errors in the corpus are affecting our results.</S><S sid = 120 ssid = >This work presents a method for assigning function tags to text that has been parsed to the simple label level.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  A00-2031.txt | Citing Article:  P09-3007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As in the work of (Blaheta and Charniak, 2000) and (Merlo and Musillo, 2005), to avoid calculating excessively optimistic values, constituents bearing the O label are not counted in for computing overall precision, recall and F-score.</S> | Reference Offset:  ['66','84'] | Reference Text:  <S sid = 66 ssid = >In this case, that means excluding those constituents that were already wrong in the parser output; the parser we used attains 89% labelled precision-recall, so roughly 11% of the constituents are excluded from the function tag accuracy evaluation.</S><S sid = 84 ssid = >The first column is the with-null accuracy, and the precision and recall values given are the nonull accuracy, as noted in section 4.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  A00-2031.txt | Citing Article:  P09-3007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The features we used are borrowed from feature trees described in (Blaheta and Charniak, 2000).</S> | Reference Offset:  ['51','92'] | Reference Text:  <S sid = 51 ssid = >We assume this to be the case for our feature trees.</S><S sid = 92 ssid = >The feature tree given in figure 4 is by no means the only feature tree we could have used.</S> | Discourse Facet:  NA | Annotator: Automatic


