Citance Number: 1 | Reference Article:  I05-2038.txt | Citing Article:  W06-0602.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The Penn-style treebank for GENIA, created by Tateisi et al (2005), currently contains 500 abstracts.</S> | Reference Offset:  ['3','79'] | Reference Text:  <S sid = 3 ssid = >A subset of the GENIA corpus consisting of 500 MEDLINE abstracts has been annotated for syntactic structure in an XML based format based on Penn Treebank II (PTB) scheme.</S><S sid = 79 ssid = >The 500 abstracts with correction of these errors are made publicly available as ?The GENIA Treebank Beta Version?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  I05-2038.txt | Citing Article:  W11-1814.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >More detail, the tokenized text was done by GENIA tools, and the syntactic analyses was created by the McClosky-Charinak parser (McClosky and Charniak, 2008), trained on the GENIA Treebank corpus (Tateisi et al, 2005), which is one of the most accurate parsers for biomedical documents.</S> | Reference Offset:  ['25','178'] | Reference Text:  <S sid = 25 ssid = >GTB is the addition of syntactic information to the GENIA corpus.</S><S sid = 178 ssid = >A subset of the GENIA corpus is annotated for syntactic (tree) structure.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  I05-2038.txt | Citing Article:  N10-3001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Table 1 lists three corpora in the biomedical domain that are annotated with deep syntactic structures; CRAFT (described below), GENIA (Tateisi et al, 2005), and Penn BIOIE (Bies et al, 2005).</S> | Reference Offset:  ['24','131'] | Reference Text:  <S sid = 24 ssid = >The GENIA corpus is also annotated for part-of speech (POS) (Tateisi and Tsujii, 2004), and coreference is also annotated in a part of the GENIA corpus by MedCo project at Institute for Infocomm Research, Singapore (Yang et al 2004).</S><S sid = 131 ssid = >Yet another is that one regarded the phrase ?Author et al as coor dination, and the other regarded ?et al as a modifier.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  I05-2038.txt | Citing Article:  D09-1157.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We used the Stanford parser (Klein and Manning, 2003), and also a variant of the Stanford parser (i.e., Stanford-Genia), which was trained on the GENIA treebank (Tateisi et al, 2005) for biomedical text.</S> | Reference Offset:  ['148','167'] | Reference Text:  <S sid = 148 ssid = >Coordination is reported to be difficult phenomena in an notation of different levels in the GENIA corpus (Tateisi and Tsujii, 2004), (Kim et al, 2003).</S><S sid = 167 ssid = >element indicating a technical term (Kim et al, 2003).</S> | Discourse Facet:  NA | Annotator: Automatic


