Citance Number: 1 | Reference Article:  W09-1105.txt | Citing Article:  W09-1408.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our goal was to investigate the performance of a memory-based approach to the event extraction task, using only the information available in the training corpus and modelling the task applying an approach similar to the one that has been applied to tasks like semantic role labeling (Morante et al, 2008) or negation scope detection (Morante and Daelemans, 2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The approach to the treatment of negation in NLP presented in this paper was introduced in Morante et al. (2008).</S><S sid = NA ssid = NA>The system has been developed using the BioScope corpus (Szarvas et al., 2008; Vincze et al., 2008)1, a freely available resource that consists of medical and biological texts.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W09-1105.txt | Citing Article:  W10-3110.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In keeping with the evaluation presented by Morante and Daelemans (2009), the number of perfectly identified negation scopes is measured separately as the percentage of correct scopes (PCS).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Additionally, we evaluate the percentage of correct scopes (PCS).</S><S sid = NA ssid = NA>This system achieved a 50.05 percentage of correct scopes but had a number of important shortcomings.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W09-1105.txt | Citing Article:  W10-3110.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The best reported performance to date on the BioScope full papers corpus was presented by Morante and Daelemans (2009), who achieved an F1 score of 70.9 with predicted negation signals, and an F1 score of 84.7 by feeding the manually annotated negation cues to their scope finding system.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Table 7 also shows that, except for can not, all negation signals score a lower PCS on the papers subcorpus.</S><S sid = NA ssid = NA>In the corpus, every sentence is annotated with information about negation and speculation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W09-1105.txt | Citing Article:  S12-1044.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Morante and Daelemans describe a method for improving resolution of the scope of negation by combining IGTREE, CRF, and Support Vector Machines (SVM) (Morante and Daelemans, 2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The fourth classifier, a metalearner, is also a CRF as implemented in CRF++.</S><S sid = NA ssid = NA>We use IGTREE as implemented in TiMBL (version 6.1.2) (Daelemans et al., 2007).</S> | Discourse Facet:  NA | Annotator: Automatic


