Reference Article:  D10-1083.txt | Citing Article:  D11-1056.txt | Citation Marker Offset:  ['264'] | Citation Marker:  2010 | Citation Offset:  ['263','264'] | Citation Text:  <S sid ="263" ssid = "44">Following Lee et al.</S><S sid ="264" ssid = "45">(2010), we report the best and median settings of hyperparameters based on the F- score, in addition to inferred values.</S> | Reference Offset:  ['99'] | Reference Text:  <S sid ="99" ssid = "4">TheFigure 2: Graph of the one-to-one accuracy of our full model (+FEATS) under the best hyperparameter setting by iteration</S> | Discourse Facet:  Results_Citation | Annotator:  Kokil Jaidka |


Reference Article:  D10-1083.txt | Citing Article:  D11-1059.txt | Citation Marker Offset:  ['5'] | Citation Marker:  Lee et al., 2010 | Citation Offset:  ['5'] | Citation Text:  <S sid ="5" ssid = "5">However, despite a recent proliferation of syntactic class induction systems (Biemann, 2006; Goldwater and Griffiths, 2007; Johnson, 2007; Ravi and Knight, 2009; Berg-Kirkpatrick et al., 2010; Lee et al., 2010) | Reference Offset:  ['239'] | Reference Text:  <S sid ="239" ssid = "100">Our empirical results demonstrate that the type-based tagger rivals state-of-the-art tag-level taggers which employ more sophisticated learning mechanisms to exploit similar constraints.</S> | Discourse Facet:  Results_Citation | Annotator:  Kokil Jaidka |


Reference Article:  D10-1083.txt | Citing Article:  D11-1059.txt | Citation Marker Offset:  ['11'] | Citation Marker:  2010 | Citation Offset:  ['10','11'] | Citation Text:  <S sid ="10" ssid = "10">This property is not strictly true of linguistic data, but is a good approximation: as Lee et al.</S><S sid ="11" ssid = "11">(2010) note, assigning each word type to its most frequent part of speech yields an upper bound accuracy of 93% or more for most languages.</S> | Reference Offset:  ['22'] | Reference Text:  <S sid ="22" ssid = "22">In this way we restrict the parameterization of a Language Original case English Danish Dutch German Spanish Swedish Portuguese 94.6 96.3 96.6 95.5 95.4 93.3 95.6 Table 1: Upper bound on tagging accuracy assuming each word type is assigned to majority POS tag.</S> | Discourse Facet:  Results_Citation | Annotator:  Kokil Jaidka |


Reference Article:  D10-1083.txt | Citing Article:  D11-1059.txt | Citation Marker Offset:  ['17'] | Citation Marker:  2010 | Citation Offset:  ['16','17'] | Citation Text:  <S sid ="16" ssid = "16">More recently, Lee et al.</S><S sid ="17" ssid = "17">(2010) presented a new type-based model, and also reported very good results.</S> | Reference Offset:  ['239'] | Reference Text:  <S sid ="239" ssid = "100">Our empirical results demonstrate that the type-based tagger rivals state-of-the-art tag-level taggers which employ more sophisticated learning mechanisms to exploit similar constraints.</S> | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka |


