Citance Number: 1 | Reference Article:  W99-0629.txt | Citing Article:  P00-1017.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This experiment is repeated on two different existing systems, which are reported in Buchholz et al (1999) and Carroll et al (1999), respectively.</S> | Reference Offset:  ['21','41'] | Reference Text:  <S sid = 21 ssid = >Argamon et at.</S><S sid = 41 ssid = >For more references and information about these algorithms we refer to (Daelemans et al., 1998; Daelemans et al., 1999b).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W99-0629.txt | Citing Article:  P00-1017.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For example, the Buchholz et al (1999) system ignores verb complements of verbs and is designed to look for relationships to verbs and not GRs that exist between nouns, etc.</S> | Reference Offset:  ['85','165'] | Reference Text:  <S sid = 85 ssid = >The second feature contains the number of other verbs between the verb and the focus.</S><S sid = 165 ssid = >+15%) than for the two complements (+0.2% resp.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W99-0629.txt | Citing Article:  P00-1017.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For example, in our experiments, the Buchholz et al (1999) system uses the annotation np-sbj to indicate a subject, while the Ferro et al (1999) system uses the annotation subj.</S> | Reference Offset:  ['21','41'] | Reference Text:  <S sid = 21 ssid = >Argamon et at.</S><S sid = 41 ssid = >For more references and information about these algorithms we refer to (Daelemans et al., 1998; Daelemans et al., 1999b).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W99-0629.txt | Citing Article:  P00-1017.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['58','188'] | Reference Text:  <S sid = 58 ssid = >For convenient comparisons of only one value, we also list the Fo---1 value (C.J.van Rijsbergen, 1979).</S><S sid = 188 ssid = >Likewise, it might be better to find different grammatical relations subsequently, instead of simultaneously.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  W99-0629.txt | Citing Article:  P00-1017.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As an example, take the results of using the Buchholz et al (1999) system on the 1391GR instance training set.</S> | Reference Offset:  ['41','55'] | Reference Text:  <S sid = 41 ssid = >For more references and information about these algorithms we refer to (Daelemans et al., 1998; Daelemans et al., 1999b).</S><S sid = 55 ssid = >See Section 4 for results on other train/test set splittings.</S> | Discourse Facet:  NA | Annotator: Automatic


