Citance Number: 1 | Reference Article:  P98-2127.txt | Citing Article:  P99-1067.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['39','108'] | Reference Text:  <S sid = 39 ssid = >For example, the triples extracted from the sentence &quot;I have a brown dog&quot; are: We use the notation 11w, r, w' II to denote the frequency count of the dependency triple (w, r, w') in the parsed corpus.</S><S sid = 108 ssid = >This research has also been partially supported by NSERC Research Grant 0GP121338 and by the Institute for Robotics and Intelligent Systems.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P98-2127.txt | Citing Article:  P06-2075.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Amongst the many proposals for distributional similarity measures, (Lin, 1998) is maybe the most widely used one, while (Weeds et al, 2004) provides a typical example for recent research.</S> | Reference Offset:  ['32','66'] | Reference Text:  <S sid = 32 ssid = >The similarity measure can then be used to create a thesaurus.</S><S sid = 66 ssid = >The measures simeosine, simdice and SiMJacard are versions of similarity measures commonly used in information retrieval (Frakes and Baeza-Yates, 1992).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P98-2127.txt | Citing Article:  P06-2075.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This scheme utilizes the symmetric similarity measure of (Lin, 1998) to induce improved feature weights via bootstrapping.</S> | Reference Offset:  ['70','73'] | Reference Text:  <S sid = 70 ssid = >The similarity measure simwN is based on the proposal in (Lin, 1997).</S><S sid = 73 ssid = >The similarity between two words is then defined as the cosine coefficient of the two feature vectors.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P98-2127.txt | Citing Article:  N06-3007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We will take advantage of the flexibility provided by our framework and use syntax based measure of similarity in the computation of the verb vectors, following (Lin, 1998).</S> | Reference Offset:  ['2','70'] | Reference Text:  <S sid = 2 ssid = >We first define a word similarity measure based on the distributional pattern of words.</S><S sid = 70 ssid = >The similarity measure simwN is based on the proposal in (Lin, 1997).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P98-2127.txt | Citing Article:  C08-1054.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Chantree et al (2005) applied the distributional similarity proposed by Lin (1998) to coordination disambiguation.</S> | Reference Offset:  ['29','101'] | Reference Text:  <S sid = 29 ssid = >It was shown in (Dagan et al., 1997) that a similarity-based smoothing method achieved much better results than backoff smoothing methods in word sense disambiguation.</S><S sid = 101 ssid = >In (Dagan et al., 1993) and (Pereira et al., 1993), clusters of similar words are evaluated by how well they are able to recover data items that are removed from the input corpus one at a time.</S> | Discourse Facet:  NA | Annotator: Automatic


