Citance Number: 1 | Reference Article:  E99-1023.txt | Citing Article:  A00-2007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Tjong Kim Sang and Veenstra, 1999) have presented three variants of this tagging representation.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We have used the baseNP data presented in (Ramshaw and Marcus, 1995)2.</S><S sid = NA ssid = NA>We have compared four complete and three partial data representation formats for the baseNP recognition task presented in (Ramshaw and Marcus, 1995).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  E99-1023.txt | Citing Article:  A00-2007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Some more room for improved performance lies in computing the POS tags in the data with a better tagger than presently used.</S><S sid = NA ssid = NA>In the version of the algorithm that we have used, is 1-IG, the distances between feature representations are computed as the weighted sum of distances between individual features (Daelemans et al., 1998).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  E99-1023.txt | Citing Article:  A00-2007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Tjong Kim Sang and Veenstra, 1999) compare different data representations for this task.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Therefore we will compare seven different data representation formats for the baseNP recognition task.</S><S sid = NA ssid = NA>The three combinations of partial representations systematically outperformed the four complete representations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  E99-1023.txt | Citing Article:  W10-2910.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We encoded the opinionated expression brackets using the IOB2 encoding scheme (Tjong Kim Sang and Veenstra, 1999).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We have chosen to divide bracketing experiments in two parts: one for recognizing opening brackets and one for recognizing closing brackets.</S><S sid = NA ssid = NA>To avoid this we have refrained from using this tag.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  E99-1023.txt | Citing Article:  W03-1309.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>There are four kinds of chunk tags in the CoNLL-1999 dataset, namely IOB1, IOB2, IOE1, and IOE2 (Tjong Kim Sang and Veenstra, 1999).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The rules use context information of the words, the part-of-speech tags that have been assigned to them and the chunk tags that are associated with them.</S><S sid = NA ssid = NA>Therefore we have only used the best stage 1 approach with IOB1 tags: a left and right context of three words and three POS tags combined with k=3.</S> | Discourse Facet:  NA | Annotator: Automatic


