Citance Number: 1 | Reference Article:  C96-1021.txt | Citing Article:  W97-1314.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >But (Kennedy and Boguraev, 1996a) show that the Lappin and Leass algorithm still provides good results (75%) even without complete parse.</S> | Reference Offset:  ['123','139'] | Reference Text:  <S sid = 123 ssid = >(Kennedy and Boguraev, :1996)).</S><S sid = 139 ssid = >3 This rate of accuracy is clearly comparable to that of the Lappin/Leass algorithm, which (Lappin and Leass, \] 994) report as 85?/,,.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  C96-1021.txt | Citing Article:  W97-1314.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >They suggest also (Kennedy and Boguraev, 1996b) that anaphora resolution is part of the discourse referents resolution.</S> | Reference Offset:  ['0','46'] | Reference Text:  <S sid = 0 ssid = >Anaphora For Everyone: Pronominal Anaphora Resolution Without A Parser</S><S sid = 46 ssid = >2.2 Anaphora resolution.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  C96-1021.txt | Citing Article:  W10-2707.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This module is based partly on the system described by Kennedy and Boguraev 1996, with the various weighting factors based on theirs, but designed so that the weights can be trained given appropriate data.</S> | Reference Offset:  ['79','123'] | Reference Text:  <S sid = 79 ssid = >A list of candi- date antecedent-anaphor pairs is generated for every lexical anaphor, based on the hypothesis that a lexical anaphor must refer to a coargument.</S><S sid = 123 ssid = >(Kennedy and Boguraev, :1996)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  C96-1021.txt | Citing Article:  P01-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In addition, Dagan and Itai (1991) undertook additional pre-editing such as the removal of sentences for which the parser failed to produce a reasonable parse, cases where the antecedent was not an NP etc.; Kennedy and Boguraev (1996) manually removed 30 occurrences of pleonastic pronouns (which could not be recognised by their pleonastic recogniser) as well as 6 occurrences of it which referred to a VP or prepositional constituent.</S> | Reference Offset:  ['123','155'] | Reference Text:  <S sid = 123 ssid = >(Kennedy and Boguraev, :1996)).</S><S sid = 155 ssid = >First, with the incorporation of more explicit morphological nd contextual information, it should 3The set of 306 "anaphoric" pronouns excluded 30 occurrences of "expletive" it not identified by the expletive patterns (prhnari ly occurrences in object position), as well as 6 occurrences of it which referred to a VP or propositional constituent.</S> | Discourse Facet:  NA | Annotator: Automatic


