Citance Number: 1 | Reference Article:  P98-1106.txt | Citing Article:  P01-1029.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It is possible to obtain a polynomial parser provided that we limit the number of nodes simultaneously involved in non-projective configurations (see Kahane et al 1998 for similar techniques).</S> | Reference Offset:  ['42','131'] | Reference Text:  <S sid = 42 ssid = >If there is no restriction on the lifting, the previous definition is not very interesting since we can in fact take any non-projective tree and lift all nodes to the root node and obtain a projective tree.</S><S sid = 131 ssid = >(No other options are possible.)</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P98-1106.txt | Citing Article:  W04-1503.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This formalism is based on previous work presented in (Kahane et al, 1998), which has been substantially reformulated in order to simplify it.</S> | Reference Offset:  ['9','60'] | Reference Text:  <S sid = 9 ssid = >In Section 4, we extend this formalism to handle pseudo-projectivity.</S><S sid = 60 ssid = >For a model of a DG based on tree-rewriting (in the spirit of Tree Adjoining Grammar (Joshi et al., 1975)), see (Nasr, 1995).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P98-1106.txt | Citing Article:  W04-1503.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We will extend our basic approach in the spirit of (Kahane et al, 1998) in future work.</S> | Reference Offset:  ['9','60'] | Reference Text:  <S sid = 9 ssid = >In Section 4, we extend this formalism to handle pseudo-projectivity.</S><S sid = 60 ssid = >For a model of a DG based on tree-rewriting (in the spirit of Tree Adjoining Grammar (Joshi et al., 1975)), see (Nasr, 1995).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P98-1106.txt | Citing Article:  W04-1503.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Kahane et al (1998) present three different types of rules, for sub categorization, modification, and linear precedence.</S> | Reference Offset:  ['28','55'] | Reference Text:  <S sid = 28 ssid = >It can be noted that this domain of locality is equal to the domain of locality of sub-categorization rules.</S><S sid = 55 ssid = >The dependency rules are further subdivided into subcategorization rules (or s-rules) and modification rules (or m-rules).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P98-1106.txt | Citing Article:  P01-1024.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It is also related to the lifting rules of (Kahane et al, 1998), but where they choose to stipulate rules that license liftings, we opt instead for placing constraints on otherwise unrestricted climbing.</S> | Reference Offset:  ['43','55'] | Reference Text:  <S sid = 43 ssid = >We will therefore constrain the lifting by a set of rules, called lifting rules.</S><S sid = 55 ssid = >The dependency rules are further subdivided into subcategorization rules (or s-rules) and modification rules (or m-rules).</S> | Discourse Facet:  NA | Annotator: Automatic


