Citance Number: 1 | Reference Article:  P03-1029.txt | Citing Article:  P04-3017.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Sudo et al (2003) acquired subtrees derived from dependency trees as extraction rules for IE in general domains.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We proposed a model based on arbitrary subtrees of dependency trees.</S><S sid = NA ssid = NA>The model of our previous work (Sudo et al., 2001) was based on the paths from predicate nodes in dependency trees.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P03-1029.txt | Citing Article:  D11-1075.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This research is supported by the Defense Advanced Research Projects Agency as part of the Translingual Information Detection, Extraction and Summarization (TIDES) program, under Grant N66001-001-8917 from the Space and Naval Warfare Systems Center San Diego.</S><S sid = NA ssid = NA>Morphological analysis and Named Entities (NE) tagging are performed at this stage.7 Then all the sentences are converted into dependency trees by an appropriate dependency analyzer.$ The NE tagging dure, from lexicalized dependency to chunk-level dependency.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P03-1029.txt | Citing Article:  C04-1127.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The idea of a self-customizing IE system emerged recently with the improvement of pattern acquisition techniques (Sudo et al, 2003b), where the IE system customizes itself across domains given by the user's query.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In particular, methods have recently emerged for the acquisition of event extraction patterns without corpus annotation in view of the cost of manual labor for annotation.</S><S sid = NA ssid = NA>In this section, we review two of the previous models in detail, namely the Predicate-Argument model (Yangarber et al., 2000) and the Chain model (Sudo et al., 2001).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P03-1029.txt | Citing Article:  C04-1127.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Sudo et al, 2003a) consists of three phases to learn extraction patterns from the source documents for a scenario specified by the user.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This section discusses an automatic procedure to learn extraction patterns.</S><S sid = NA ssid = NA>The source document set from which the extraction patterns are learned consists of 117,109 Mainichi Newspaper articles from 1995.</S> | Discourse Facet:  NA | Annotator: Automatic


