Citance Number: 1 | Reference Article:  W03-1028.txt | Citing Article:  N04-4005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In Hulth (2003a) an evaluation of three different methods to extract candidate terms from documents is presented.</S> | Reference Offset:  ['6','132'] | Reference Text:  <S sid = 6 ssid = >However, relatively few documents have keywords assigned, and therefore finding methods to automate the assignment is desirable.</S><S sid = 132 ssid = >The results are presented next.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W03-1028.txt | Citing Article:  N04-4005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In Hulth (2003b), experiments on how the performance of the keyword extraction can be improved by combining the judgement of three classifiers are presented.</S> | Reference Offset:  ['0','132'] | Reference Text:  <S sid = 0 ssid = >Improved Automatic Keyword Extraction Given More Linguistic Knowledge</S><S sid = 132 ssid = >The results are presented next.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W03-1028.txt | Citing Article:  N04-4005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For these experiments, the same machine learning system RDS is used as for the experiments presented by Hulth (2003a).</S> | Reference Offset:  ['1','109'] | Reference Text:  <S sid = 1 ssid = >In this paper, experiments on automatic extraction of keywords from abstracts using a supervised machine learning algorithm are discussed.</S><S sid = 109 ssid = >The machine learning approach used for the experiments is that of rule induction, i.e., the model that is constructed from the given examples, consists of a set of rules2.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W03-1028.txt | Citing Article:  N04-4005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It was noted in Hulth (2003b) that when extracting NP chunks, the accompanying determiners are also extracted (per definition), but that determiners are rarely found at the initial position of keywords.</S> | Reference Offset:  ['84','173'] | Reference Text:  <S sid = 84 ssid = >In the next set of experiments a partial parserl was used to select all NP-chunks from the documents.</S><S sid = 173 ssid = >The total number of manually assigned terms present in the abstracts is 3 816, and the mean is 7.63 terms per document. tion approaches, extracting NP-chunks gives a better precision, while extracting all words or sequences of words matching any of a set of POS tag patterns gives a higher recall compared to extracting ngrams.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  W03-1028.txt | Citing Article:  N04-4005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In the experiments presented in Hulth (2003a), only the documents present in the training, validation, and test set respectively are used for calculating the collection frequency.</S> | Reference Offset:  ['65','127'] | Reference Text:  <S sid = 65 ssid = >For all experiments the same training, validation, and test sets were used.</S><S sid = 127 ssid = >When calculating the recall, the value for the total number of manually assigned keywords present in the documents is used, independent of the number actually present in the different representations.</S> | Discourse Facet:  NA | Annotator: Automatic


