Citance Number: 1 | Reference Article:  C10-2005.txt | Citing Article:  D11-1052.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Recent examples of this approach are Barbosa and Feng (2010) and Pak and Paroubek (2010).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For polarity detection, they select the positive examples for the training data from the tweets containing good emoticonsand negative examples from tweets contain ing bad emoticons.</S><S sid = NA ssid = NA>One exception is TwitterSentiment (Go et al., 2009), for instance, which considers tweets with good emoticons as positive examples and tweets with bad emoticons as negative examples for the training data, and builds a classifier using unigrams and bigrams as features.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  C10-2005.txt | Citing Article:  P11-4006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>As future work, we want to perform a more fine grained analysis of sentences in order to identifyits main focus and then based the sentiment clas sification on it.</S><S sid = NA ssid = NA>To illustrate which of the proposed features are more effective for this task, the top-5 features in terms of information gain, based on our trainingdata, are: positive polarity, link, strong subjec tive, upper case and verbs.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  C10-2005.txt | Citing Article:  W11-0705.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The size of our hand-labeled data allows us to perform cross validation experiments and check for the variance in performance of the classifier across folds. Another significant effort for sentiment classification on Twitter data is by Barbosa and Feng (2010).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We also investigated the influence of the size oftraining data on classification performance.</S><S sid = NA ssid = NA>As we show later, this boosts the classification performance, mainlybecause it removes tweets labeled as subjective by the data sources but are in fact objec tive; 3.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  C10-2005.txt | Citing Article:  P11-1016.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The state-of-the-art approaches for solving this problem, such as (Go et al, 20095; Barbosa and Feng, 2010), basically follow (Pang et al, 2002), who utilize machine learning based classifiers for the sentiment classification of texts.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>There is a rich literature in the area of sentiment detection (see e.g., (Pang et al, 2002; Pang and Lee, 2004; Wiebe and Riloff, 2005; Go et al,2009; Glance et al, 2005).</S><S sid = NA ssid = NA>A variety of features have been exploited on the problem of sentiment detection (Pang and Lee, 2004; Pang et al, 2002; Wiebe et al, 1999; Wiebeand Riloff, 2005; Riloff et al, 2006) including unigrams, bigrams, part-of-speech tags etc. A natural choice would be to use the raw word represen tation (n-grams) as features, since they obtained good results in previous works (Pang and Lee, 2004; Pang et al, 2002) that deal with large texts.However, as we want to perform sentiment detection on very short messages (tweets), this strategy might not be effective, as shown in our ex periments.</S> | Discourse Facet:  NA | Annotator: Automatic


