Citance Number: 1 | Reference Article:  D07-1077.txt | Citing Article:  P14-2026.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Moreover, this rule set substantially decreased the total times of rule application about 60%, compared with a constituent-based approach (Wang et al, 2007).</S> | Reference Offset:  ['5','39'] | Reference Text:  <S sid = 5 ssid = >We evaluated the reordering approach within the MOSES phrase-based SMT system (Koehn et al, 2007).</S><S sid = 39 ssid = >Our approach is most similar to that of Collins et al (2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  D07-1077.txt | Citing Article:  P14-2026.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The most similar work to this paper is that of Wang et al (2007).</S> | Reference Offset:  ['2','39'] | Reference Text:  <S sid = 2 ssid = >This paper introduces a reordering approach for translation from Chinese to English.</S><S sid = 39 ssid = >Our approach is most similar to that of Collins et al (2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  D07-1077.txt | Citing Article:  P14-2026.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We argue that even though the rules by Wang et al (2007) exist, it is almost impossible to automatically convert their rules into rules that are applicable to dependency parsers.</S> | Reference Offset:  ['55','93'] | Reference Text:  <S sid = 55 ssid = >rules.</S><S sid = 93 ssid = >Hence we only developed reordering rules to handle DNP and clausal (CP) modifiers.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  D07-1077.txt | Citing Article:  P14-2026.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The training data, which included those data used in Wang et al (2007), contained 1 million pairs of sentences extracted from the Linguistic Data Consortium's parallel news corpora.</S> | Reference Offset:  ['11','24'] | Reference Text:  <S sid = 11 ssid = >The reordering process is used to prepro cess both the training and test data used within an existing SMT system.</S><S sid = 24 ssid = >The result ing system is used as a preprocessor for both training and test sentences, transforming Chinese sentences to be much closer to English.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  D07-1077.txt | Citing Article:  P14-2026.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We implemented the constituent-based preordering rule set in Wang et al (2007) for comparison, which is called WR07 below.</S> | Reference Offset:  ['5','44'] | Reference Text:  <S sid = 5 ssid = >We evaluated the reordering approach within the MOSES phrase-based SMT system (Koehn et al, 2007).</S><S sid = 44 ssid = >The syntax based models of Yamada and Knight (2001) andMarcu et al (2006) build a full parse tree in the target language, again effectively allowing hierarchi cal reordering based on synchronous grammars.</S> | Discourse Facet:  NA | Annotator: Automatic


