Citance Number: 1 | Reference Article:  P08-1115.txt | Citing Article:  E09-1082.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The concept of compatible coverage vectors for the locations of translated words becomes the notion of reachability between frontier nodes in the lattice (Dyer et al, 2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For example, assuming the third lattice in Figure 1 is our input, if the edge with word a is translated, this will cover two untranslated nodes [0,1] in the coverage vector, even though it is only a single word.</S><S sid = NA ssid = NA>In the sentence decoder, any translation of any span of untranslated words is an allowable extension of a partial translation hypothesis, provided that the coverage vectors of the extension and the partial hypothesis do not intersect.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P08-1115.txt | Citing Article:  P13-1059.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We also plan to jointly optimize MT and name tagging by propagating multiple word segmentation and name annotation hypotheses in lattice structure to statistical MT and conduct lattice based decoding (Dyer et al, 2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Lattice Translation.</S><S sid = NA ssid = NA>Chinese word segmentation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P08-1115.txt | Citing Article:  W12-3157.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In applications like the one described by Dyer et al (2008), where several different segmenters for Chinese are combined to create the lattice, this is not possible.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Although the number of source phrases in a word lattice can be exponential in the number of nodes, enumerating the possible translations of every span in a lattice is in practice tractable, as described by Bertoldi et al. (2007).</S><S sid = NA ssid = NA>Figure 5 illustrates a lattice based on three different segmentations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P08-1115.txt | Citing Article:  W12-3157.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Dyer et al (2008) use it to encode different Chinese word segmentations or Arabic morphological analyses.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Arabic morphological variation.</S><S sid = NA ssid = NA>Dyer (2007) uses confusion networks to encode morphological alternatives in Czech-English translation, and Xu et al. (2005) takes an approach very similar to ours for Chinese-English translation and encodes multiple word segmentations in a lattice, but which is decoded with a conventionally trained translation model and without a sophisticated reordering model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P08-1115.txt | Citing Article:  W12-3157.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our work differs from (Dyer et al, 2008) in that we explicitly distinguish the various preprocessing types in the lattice so that we can define specific path features and lexicalize the lattice path probabilities within the phrase model.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In phrase based translation, distortion is modeled explicitly.</S><S sid = NA ssid = NA>Lattice Translation.</S> | Discourse Facet:  NA | Annotator: Automatic


