Citance Number: 1 | Reference Article:  P11-1020.txt | Citing Article:  D12-1066.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We used the Multiple Video Description Corpus (Chen and Dolan, 2011) obtained from multiple descriptions of short videos.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Examples of this kind of data include the Multiple-Translation Chinese (MTC) Corpus 2 which consists of Chinese news stories translated into English by 11 translation agencies, and literary works with multiple translations into English (e.g.</S><S sid = NA ssid = NA>Asking annotators to write multiple descriptions or longer descriptions would result in more varied data but at the cost of more noise in the alignments.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P11-1020.txt | Citing Article:  P14-1114.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The dataset consists of 1,500 pairs of short video descriptions collected using crowd sourcing (Chen and Dolan, 2011) and subsequently annotated for the STS task (Agirre et al, 2012).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Many of them annotated all the available videos we had.</S><S sid = NA ssid = NA>Examples of some of the descriptions collected are shown in Figure 2.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P11-1020.txt | Citing Article:  D12-1058.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Such corpora have also been created manually through crowd sourcing (Chen and Dolan, 2011).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The qualification process was done manually by the authors.</S><S sid = NA ssid = NA>In contrast, there are no “professional paraphrasers”, with the result that there are no readily available large corpora and no consistent standards for what constitutes a high-quality paraphrase.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P11-1020.txt | Citing Article:  S12-1051.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Figure 2: Definition and instructions for annotation to provide a one-sentence description of the main action or event in the video (Chen and Dolan, 2011).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Watch and describe a short segment of a video You will be shown a segment of a video clip and asked to describe the main action/event in that segment in ONE SENTENCE.</S><S sid = NA ssid = NA>A screenshot of our annotation task is shown in Figure 1.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P11-1020.txt | Citing Article:  E12-1073.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>3. video descriptions Descriptions of short YouTube videos obtained via Mechanical Turk (Chen and Dolan, 2011).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For each task, we asked the annotators to watch a very short video clip (usually less than 10 seconds long) and describe in one sentence the main action or event that occurred in the video clip We deployed the task on Amazon’s Mechanical Turk, with video segments selected from YouTube.</S><S sid = NA ssid = NA>Even limiting the set to descriptions produced from the Tier-2 tasks, there are still 16 descriptions on average for each video, with at least 12 descriptions for over 95% of the videos.</S> | Discourse Facet:  NA | Annotator: Automatic


