Citance Number: 1 | Reference Article:  N04-1023.txt | Citing Article:  P13-2098.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This approach has successfully been applied in numerous Natural Language Processing (NLP) tasks including syntactic parsing (Collins and Koo, 2005), semantic parsing (Ge and Mooney, 2006), machine translation (Shen et al, 2004), spoken language understanding (Dinarelli et al, 2012), etc.</S> | Reference Offset:  ['9','42'] | Reference Text:  <S sid = 9 ssid = >Discriminative reranking algorithms have also contributed to improvements in natural language parsing and tagging performance.</S><S sid = 42 ssid = >Like machine translation, parsing is another field of natural language processing in which generative models have been widely used.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  N04-1023.txt | Citing Article:  D07-1055.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Shen et al (2004) compared different algorithms for tuning the log-linear weights in a re ranking framework and achieved results comparable to the standard minimum error rate training.</S> | Reference Offset:  ['36','191'] | Reference Text:  <S sid = 36 ssid = >Och (2003) described the use of minimum error training directly optimizing the error rate on automatic MT evaluation metrics such as BLEU.</S><S sid = 191 ssid = >(Shen and Joshi, 2004).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  N04-1023.txt | Citing Article:  W07-0401.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Och et al, 2004) and (Shen et al, 2004) describe the use of syntactic features in reranking the output of a full translation system, but the syntactic features give very small gains.</S> | Reference Offset:  ['165','191'] | Reference Text:  <S sid = 165 ssid = >Six features from (Och, 2003) were used as baseline features.</S><S sid = 191 ssid = >(Shen and Joshi, 2004).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  N04-1023.txt | Citing Article:  W10-1757.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The labels for the SVM are derived as in (Shen et al, 2004), where top 10% of hypotheses by smoothed sentence-BLEU is ranked before the bottom 90%.</S> | Reference Offset:  ['130','191'] | Reference Text:  <S sid = 130 ssid = >The splitting algorithm searches a linear function that successfully splits the top -ranked and bottom -ranked translations for each sentence, where .</S><S sid = 191 ssid = >(Shen and Joshi, 2004).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  N04-1023.txt | Citing Article:  P06-1091.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A perceptron like algorithm that handles global features in the context of re-ranking is also presented in (Shen et al., 2004).</S> | Reference Offset:  ['48','191'] | Reference Text:  <S sid = 48 ssid = >In (Shen and Joshi, 2004), we have introduced a new perceptron-like ordinal regression algorithm for parse reranking.</S><S sid = 191 ssid = >(Shen and Joshi, 2004).</S> | Discourse Facet:  NA | Annotator: Automatic


