Citance Number: 1 | Reference Article:  W99-0625.txt | Citing Article:  P01-1008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This extension will require using a more selective alignment technique (similar to that of (Hatzivassiloglou et al., 1999)).</S> | Reference Offset:  ['170','203'] | Reference Text:  <S sid = 170 ssid = >It serves as the first component of a domain-independent multidocument summarization system [McKeown et al. 1999] which generates a summary through text reformulation [Barzilay et al.</S><S sid = 203 ssid = >We thus consider the following potential matches between text units: identified using the ALEMBIC tool set [Aberdeen et al. 1995].</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W99-0625.txt | Citing Article:  E09-1065.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Another approach (Hatzivassiloglou et al,1999) has been to use a machine learning algorithm in which features are based on combinations of simple features (e.g., a pair of nouns appear within 5 words from one another in both texts).</S> | Reference Offset:  ['0','214'] | Reference Text:  <S sid = 0 ssid = >Detecting Text Similarity Over Short Passages: Exploring Linguistic Feature Combinations Via Machine Learning</S><S sid = 214 ssid = >In addition to the above primitive features that compare single items from each text unit, we use composite features which combine pairs of primitive features.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W99-0625.txt | Citing Article:  H05-1005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We use SimFinder (Hatzivassiloglou et al, 1999) for sentence clustering and the f-measure for word overlap to compare noun phrases.</S> | Reference Offset:  ['48','170'] | Reference Text:  <S sid = 48 ssid = >Matching noun phrases. the LINKIT tool [Wacholder 1998] to identify simplex noun phrases and match those that share the same head.</S><S sid = 170 ssid = >It serves as the first component of a domain-independent multidocument summarization system [McKeown et al. 1999] which generates a summary through text reformulation [Barzilay et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W99-0625.txt | Citing Article:  C04-1129.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We use SimFinder (Hatzivassiloglou et al, 1999) for sentence clustering and its similarity metric to evaluate cluster quality; SimFinder outputs similarity values (simvals) between 0 and 1 for pairs of sentences, based on word overlap, synonymy andn-gram matches.</S> | Reference Offset:  ['46','170'] | Reference Text:  <S sid = 46 ssid = >We thus consider following potential matches between text units: Word co-occurrence, sharing a single word between text units.</S><S sid = 170 ssid = >It serves as the first component of a domain-independent multidocument summarization system [McKeown et al. 1999] which generates a summary through text reformulation [Barzilay et al.</S> | Discourse Facet:  NA | Annotator: Automatic


