Citance Number: 1 | Reference Article:  C04-1072.txt | Citing Article:  P04-1077.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In Lin and Och (2004), we proposed a framework that automatically evaluated automatic MT evaluation metrics using only manual translations without further human involvement.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this paper, we introduce a new evaluation method, ORANGE, for evaluating automatic machine translation evaluation metrics automatically without extra human involvement other than using a set of reference translations.</S><S sid = NA ssid = NA>(Oracle1 Ranking for Gisting Evaluation) and the smaller the ratio is, the better the automatic metric is. There are several advantages of the proposed ORANGE evaluation method: ? No extra human involvement ? ORANGE uses the existing human references but not human evaluations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  C04-1072.txt | Citing Article:  P14-2090.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This locality assumption eases efficient implementation of our algorithm, and can be realized using a sentence-level evaluation measure such as BLEU+1 (Lin and Och, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>ROUGE-L and ROUGE-S are described in details in Lin and Och (2004).</S><S sid = NA ssid = NA>We adopt this assumption and add one more assumption that automatic translations are usually worst than their reference translations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  C04-1072.txt | Citing Article:  P11-2027.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>156 at the sentence levels moothed-bleu (Lin and Och, 2004) was used in this case.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>ROUGE-L and ROUGE-S are described in details in Lin and Och (2004).</S><S sid = NA ssid = NA>From the BLEU group, we found that shorter BLEU has better adequacy correlation while longer BLEU has better fluency correlation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  C04-1072.txt | Citing Article:  P07-1038.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>ROUGE utilizes, skip n-grams, which allow for matches of sequences of words that are not necessarily adjacent (Lin and Och, 2004a).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>ROUGE-L and ROUGE-S are described in details in Lin and Och (2004).</S><S sid = NA ssid = NA>Therefore, for candidate translations with less than n words, they can still get a positive smoothed BLEU score from shorter n-gram matches; however if nothing matches then they will get zero scores.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  C04-1072.txt | Citing Article:  P07-1038.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>BLEU is smoothed (Lin and Och, 2004b), and it considers only matching up to bi grams because this has higher correlations with human judgments than when higher-ordered n-grams are included.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We call the smoothed BLEU: BLEUS.</S><S sid = NA ssid = NA>Therefore, Y1 would be ranked higher than Y2 using WLCS.</S> | Discourse Facet:  NA | Annotator: Automatic


