Citance Number: 1 | Reference Article:  P08-1119.txt | Citing Article:  W09-1703.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Kozareva et al, 2008) proposed the use of a doubly-anchored hyponym pattern and a graph to represent the links between hyponym occurrences in these patterns.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We will refer to these as hyponym patterns.</S><S sid = NA ssid = NA>We present two algorithms that use hyponym pattern linkage graphs (HPLGs) to represent popularity and productivity information.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P08-1119.txt | Citing Article:  P10-1150.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We are particularly interested in the usage of recursive patterns for the learning of semantic relations not only because it is a novel method, but also because recursive patterns of the DAP fashion are known to: (1) learn concepts with high precision compared to singly-anchored pat terns (Kozareva et al, 2008), (2) use only one seed instance for the discovery of new previously unknown terms, and (3) harvest knowledge with minimal supervision.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Combining hyponym patterns with pattern linkage graphs is an effective way to produce a highly accurate semantic class learner that requires truly minimal supervision: just the class name and one class member as a seed.</S><S sid = NA ssid = NA>Each new class member is then used as a seed instance in the bootstrapping loop.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P08-1119.txt | Citing Article:  E12-1027.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>With the same goal, Kozareva et al (2008) apply similar textual patterns to the web.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The KnowItAll system (Etzioni et al., 2005) also uses hyponym patterns to extract class instances from the web and then evaluates them further by computing mutual information scores based on web queries.</S><S sid = NA ssid = NA>Other researchers have successfully used sets of hyponym patterns (e.g., (Hearst, 1992; Etzioni et al., 2005; Pas¸ca, 2004)), and multiple patterns could be used with our algorithms as well.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P08-1119.txt | Citing Article:  D10-1107.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Similarly, (Kozareva et al,2008) evaluated only a small number (a few hundreds) of harvested instances.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>These methods have been evaluated only on fixed corpora1, although (Pantel et al., 2004) demonstrated how to scale up their algorithms for the web.</S><S sid = NA ssid = NA>We evaluated our algorithms on four semantic categories: U.S. states, countries, singers, and fish.</S> | Discourse Facet:  NA | Annotator: Automatic


