Citance Number: 1 | Reference Article:  C90-2039.txt | Citing Article:  P99-1061.txt | Citation Marker Offset: ['48'] | Citation Marker:  Kogure, 1990 | Citation Offset:  ['48'] | Citation Text:  <S sid ="48" ssid = "28">While an improvement over simple destructive unification, Tomabechi&apos;s approach still suffers from what Kogure (Kogure, 1990) calls redundant copying.</S> | Reference Offset:  ['21', '22','23'] | Reference Text:  <S sid ="21" ssid = "21">itowever, the problem with his method is that a unitication result graph consists only of newly created structures.</S><S sid ="22" ssid = "22">This is unnecessary because there are often input snbgraphs that can be used as part of the result graph without any modification, or as sharable parts between one of the input graphs and the result graph.</S><S sid ="23" ssid = "23">Copying sharable parts is called redundant copying.</S> | Discourse Facet:  Implication_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 2 | Reference Article:  C90-2039.xml | Citing Article:  C90-3046.xml | Citation Marker Offset:  ['102'] | Citation Marker:   6 | Citation Offset:  ['102','103'] | Citation Text:  <S sid ="102" ssid = "67">This is inefficient with many copy operations due to unfications of unnecessary features that do not contribute to successful unification [6].</S><S sid ="103" ssid = "68">Thus treatments such as strategic unification [6] have been developed.</S> | Reference Offset:  ['205','206'] | Reference Text: <S sid ="205" ssid = "4">Furthermore, structure sharing increases the portion of token identical substructures of FSs which makes it efficient to keep unification results of substructures of FSs and reuse them.</S><S sid ="206" ssid = "5">This reduces repeated calculation of substructures.</S> | Discourse Facet:  Aim_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 3 | Reference Article:  C90-2039.xml | Citing Article:  P91-1031.xml | Citation Marker Offset:  ['49'] | Citation Marker:  1990 | Citation Offset:  ['49'] | Citation Text: <S sid ="49" ssid = "9">This observation is the basis for a reordering method proposed by Kogure [1990].</S> | Reference Offset:  ['3'] | Reference Text:  <S sid ="3" ssid = "3">The other, called ti~e strategic incremental copy graph unification method, uses an early failure finding strategy which first tries to unify :;ubstructures tending to fail in unification; this method is; based on stochastic data on tim likelihood of failure and ,&apos;educes unnecessary computation.</S> | Discourse Facet:  Implication_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 4 | Reference Article:  C90-2039.xml | Citing Article:  P91-1031.xml | Citation Marker Offset:  ['62'] | Citation Marker:  Kogure 1990 | Citation Offset:  ['62'] | Citation Text:  <S sid ="62" ssid = "22">Thus for any automatic counting scheme some constant shuffling and reshuffling of the conjunct order needs to be applied until the order stabilizes (see also [Kogure 1990]).</S> | Reference Offset:  ['186', '187', '188'] | Reference Text:  <S sid ="186" ssid = "8">in this method, theretbre, the failure tendency information is acquired by a learning process.</S><S sid ="187" ssid = "9">That is, the SING unification method applied in an analysis system uses the failure tendency information acquired by a learning analysis process.</S><S sid ="188" ssid = "10">in the learning process, when FS unification is applied, feature treatment orders are randomized for the sake of random extraction.</S> | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka, NTU |


