Citance Number: 1 | Reference Article:  P93-1024.txt | Citing Article:  E95-1008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Class based methods (Pereira et al 1993) approximate the likelihood of unobserved words based on similar words.</S> | Reference Offset:  ['7','135'] | Reference Text:  <S sid = 7 ssid = >Methods for automatically classifying words according to their contexts of use have both scientific and practical interest.</S><S sid = 135 ssid = >verb distribution for n from the cluster centroids close to n. The data for this test was built from the training data for the previous one in the following way, based on a suggestion by Dagan et al. (1993).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P93-1024.txt | Citing Article:  P06-1102.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['54','148'] | Reference Text:  <S sid = 54 ssid = >While clusters based on distributional similarity are interesting on their own, they can also be profitably seen as a means of summarizing a joint distribution.</S><S sid = 148 ssid = >We would like to thank Don Hindle for making available the 1988 Associated Press verb-object data set, the Fidditch parser and a verb-object structure filter, Mats Rooth for selecting the objects of &quot;fire&quot; data set and many discussions, David Yarowsky for help with his stemming and concordancing tools, and Ido Dagan for suggesting ways of testing cluster models.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P93-1024.txt | Citing Article:  W06-1664.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Distributional clustering of words was first proposed by Pereira Tishby and Leein (Pereira et al, 1993): They cluster nouns according to their conditional verb distributions.</S> | Reference Offset:  ['0','32'] | Reference Text:  <S sid = 0 ssid = >Distributional Clustering Of English Words</S><S sid = 32 ssid = >To cluster nouns n according to their conditional verb distributions prz, we need a measure of similarity between distributions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P93-1024.txt | Citing Article:  D07-1039.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The cluster output can then be used as classes for selectional preferences (Pereira et al, 1993), or one can directly use frequency information from distributionally similar words for smoothing (Grishman and Sterling, 1994).</S> | Reference Offset:  ['16','18'] | Reference Text:  <S sid = 16 ssid = >His notion of similarity seems to agree with our intuitions in many cases, but it is not clear how it can be used directly to construct word classes and corresponding models of association.</S><S sid = 18 ssid = >While it may be worth basing such a model on preexisting sense classes (Resnik, 1992), in the work described here we look at how to derive the classes directly from distributional data.</S> | Discourse Facet:  NA | Annotator: Automatic


