Citance Number: 1 | Reference Article:  E09-1013.txt | Citing Article:  C10-2029.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>More related to our work are (Brody and Lapata, 2009) or (Toutanova and Johnson, 2008) who use LDA-based models which induce latent variables from task-specific data rather than from simple documents.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This is in marked contrast with previous LDA-based models which mostly take only word-based information into account.</S><S sid = NA ssid = NA>Our work is related to Latent Dirichlet Allocation (LDA, Blei et al. 2003), a probabilistic model of text generation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  E09-1013.txt | Citing Article:  C10-2029.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Brody and Lapata, 2009) apply such a model for word sense induction on a set of 35 target nouns.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Bayesian Word Sense Induction</S><S sid = NA ssid = NA>This served as our out-of-domain corpus, and contained approximately 730 thousand instances of the 35 target nouns in the Semeval lexical sample.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  E09-1013.txt | Citing Article:  P14-1034.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Theoretically, their latent variable formulation has served as a foundation for more robust models of other linguistic phenomena (Brody and Lapata, 2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Boyd-Graber et al. (2007) extend the topic modeling framework to include WordNet senses as a latent variable in the word generation process.</S><S sid = NA ssid = NA>This functionality in turn enables us to evaluate which linguistic information matters for the sense induction task.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  E09-1013.txt | Citing Article:  D11-1091.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Tiered clustering is a discrete clustering method, as opposed to methods such as (Brody and Lapata, 2009) that assign a distribution of word senses to each word instance.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In essence, each instance of a target word is represented as a feature vector which subsequently serves as input to the chosen clustering method.</S><S sid = NA ssid = NA>Sense induction is thus typically viewed as an unsupervised clustering problem where the aim is to partition a word’s contexts into different classes, each representing a word sense.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  E09-1013.txt | Citing Article:  P14-1137.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We extracted pseudo documents from a 10-word window centered on the corresponding word token for each word type following Brody and Lapata (2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>1 word window).</S><S sid = NA ssid = NA>Specifically, we experimented with six feature categories: ±10-word window (10w), ±5-word window (5w), collocations (1w), word n-grams (ng), part-ofspeech n-grams (pg) and dependency relations (dp).</S> | Discourse Facet:  NA | Annotator: Automatic


