Citance Number: 1 | Reference Article:  W98-1119.txt | Citing Article:  E99-1031.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Treebank texts contain complete structural parsers, POS tags, and annotation of the antecedents of definite pronouns (added by Ge et al 1998).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In fact, the only part-of-speech tags necessary are those indicating nouns and pronouns.</S><S sid = NA ssid = NA>We see a significant improvement after the word knowledge is added to the program.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W98-1119.txt | Citing Article:  P10-1142.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Ge et al (1998) implement a Hobbs distance feature, which encodes the rank assigned to a candidate antecedent for a pronoun by Hobbs's (1978) seminal syntax-based pronoun resolution algorithm.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For any pronoun we collect n(= 15 in the experiment) candidate antecedents proposed by Hobbs' algorithm.</S><S sid = NA ssid = NA>The first piece of useful information we consider is the distance between the pronoun and the candidate antecedent.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W98-1119.txt | Citing Article:  W10-1737.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Ge et al [1998] also present a statistical algorithm based on the study of statistical data in a large corpus and the application of a naive Bayes model.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Equation (1) is simply an application of Bayes' rule.</S><S sid = NA ssid = NA>We present a statistical method for determining pronoun anaphora.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W98-1119.txt | Citing Article:  H05-1083.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Ge et al (1998) uses a non-parametrized statistical model to find the antecedent from a list of candidates generated by applying the Hobbs algorithm to the English Penn Treebank.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Lappin and Leass (1994) report on a (essentially non-statistical) approach that relies on salience measures derived from syntactic structure and a dynamic model of attentional state.</S><S sid = NA ssid = NA>Once we have the trees in the proper form (to the degree this is possible) we run Hobbs' algorithm repeatedly for each pronoun until it has proposed n (= 15 in our experiment) candidates.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  W98-1119.txt | Citing Article:  H05-1083.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Compared with these work, our work uses machine-generated parse trees from which trainable features are extracted in a maximum-entropy coreference system, while (Ge et al, 1998) assumes that correct parse trees are given.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We have implemented a slightly modified version of Hobbs algorithm for the Tree-bank parse trees.</S><S sid = NA ssid = NA>Due to relatively large differences between Tree-bank parse trees and Hobbs' trees, our Hobbs' implementation does not yield as high an accuracy as it would have if we had had perfect Hobbs' tree representations.</S> | Discourse Facet:  NA | Annotator: Automatic


