Citance Number: 1 | Reference Article: P98-2143.xml | Citing Article: A00-1020.xml | Citation Marker Offset: ['29'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['28','29'] | Citation Text: <S sid ="28" ssid = "4">Nevertheless, recent results show that knowledge-poor methods perform with amazing acÃÂÃÂ­ curacy (cf.</S><S sid ="29" ssid = "5">(Mitkov, 1998), (Kennedy and Boguraev, 1996) (Kameyama, 1997)).</S> | Reference Offset: ['90','154','155'] | Reference Text: <S sid="90" ssid="15">In fact, our evaluation shows that the reÃÂ­ sults are comparable to syntax-based methods (Lappin &amp; Leass I994).</S> <S sid="154" ssid="1">We have described a robust, knowledge-poor apÃÂ­ proach to pronoun resolution which operates on texts pre-processed by a part-of-speech tagger.</S> <S sid="155" ssid="2">Evaluation shows a success rate of 89.7% for the genre of techÃÂ­ nical manuals and at least in this genre, the approach appears to be more successful than other similar methods.</S> | Discourse Facet: Results_Citation | Annotator: Aakansha Gehlot

Citance Number: 5 | Reference Article: P98-2143.xml | Citing Article: C02-1027.xml | Citation Marker Offset: ['79'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['79'] | Citation Text: <S sid ="79" ssid = "17">Most of the indicators have been adopted in LINGUA without modification from the original English version (see (Mitkov, 1998) for more details).</S> | Reference Offset: ['13','53','14'] | Reference Text: <S sid="13" ssid="13">It is also an example of how anaphors in a specific genre can be resolved quite successfully without any sophisticated linguistic knowledge or even without parsing.</S> <S sid="14" ssid="14">Finally, our evaluation shows that the basic set of antecedent tracking indicators can work well not only for English, but also for other languages (in our case Polish and Arabic).</S> <S sid="53" ssid="39">This preference can be viewed as a modification of the collocation preference.</S> | Discourse Facet: Method_Citation | Annotator: Aakansha Gehlot


Citance Number: 6 | Reference Article: P98-2143.xml | Citing Article: C04-1074.xml | Citation Marker Offset: ['17'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['16','17'] | Citation Text: <S sid ="17" ssid = "17">Other proposals provide a more realistic picture in that they work as a backend to a parser (Lappin and Leass, 1994) or noun chunker (Mitkov, 1998; Soon et al., 2001; Ng and Cardie, 2002)).</S> | Reference Offset: ['33','14','139'] | Reference Text: <S sid="14" ssid="14">Finally, our evaluation shows that the basic set of antecedent tracking indicators can work well not only for English, but also for other languages (in our case Polish and Arabic).</S> <S sid="33" ssid="19">The new information, or rheme, provides some information about the theme.</S> <S sid="139" ssid="64">It would be fair to say that even though the results show superiority of our approach on the training data used (the genre of technical manuals), they cannot be generalised automatically for other genres or unrestricted texts and for a more accurate picture, further extensive tests are necessary.</S> | Discourse Facet: ['Aim_Citation'] | Annotator: Aakansha Gehlot


Citance Number: 7 | Reference Article: P98-2143.xml | Citing Article: C04-1074.xml | Citation Marker Offset: ['61'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['61'] | Citation Text: <S sid ="60" ssid = "22">Binding constraints have been in the focus of linguistic research for more than thirty years.</S><S sid ="61" ssid = "23">They provide restrictions on coindexation of pronouns with clause siblings, and therefore can only be applied with systems that determine clause boundaries, i.e. parsers (Mitkov, 1998).</S> | Reference Offset: ['61','8','33'] | Reference Text: <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell &amp; Brown 1988; Carter 1987; Hobbs 1978; Ingria &amp; Stallard 1989; Lappin &amp; McCord 1990; Lappin &amp; Leass 1994; Mitkov 1994; Rich &amp; LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="33" ssid="19">The new information, or rheme, provides some information about the theme.</S> <S sid="61" ssid="47">21dentification of clauses in complex sentences is do e heuristically.</S> | Discourse Facet: Method_Citation | Annotator: Aakansha Gehlot


Citance Number: 8 | Reference Article: P98-2143.xml | Citing Article: C04-1075.xml | Citation Marker Offset: ['19'] | Citation Marker: Mitkov 1998 | Citation Offset: ['19'] | Citation Text: <S sid ="19" ssid = "19">However, the pressing need for the development of robust and inexpensive solutions encouraged the drive toward knowledge-poor strategies (Dagan and Itai 1990; Lappin and Leass 1994; Mitkov 1998;</S> | Reference Offset: ['10','154','3'] | Reference Text: <S sid="3" ssid="3">This paper presÃÂ­ ents a robust, knowledge-poor approach to resolving pronouns in technical manuals, which operates on texts pre-processed by a part-of-speech tagger.</S> <S sid="10" ssid="10">While various alternatives have been proposed, making use of e.g. neural networks, a situation seÃÂ­ mantics framework, or the principles of reasoning with uncertainty (e.g. Connoly et al. 1994; Mitkov 1995; Tin &amp; Akman 1995), there is still a strong need for the development of robust and effective strategies to meet the demands of practical NLP systems, and to enhance further the automatic proÃÂ­ cessing of growing language resources.</S> <S sid="154" ssid="1">We have described a robust, knowledge-poor apÃÂ­ proach to pronoun resolution which operates on texts pre-processed by a part-of-speech tagger.</S> | Discourse Facet: Method_Citation | Annotator: Aakansha Gehlot


Citance Number: 9 | Reference Article: P98-2143.xml | Citing Article: C04-1143.xml | Citation Marker Offset: ['101'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['101'] | Citation Text: <S sid ="101" ssid = "44">The search scope for candidate antecedents is set to the current sentence together with the three preceding sentences as suggested in (Mitkov, 1998)</S> | Reference Offset: ['121','58','59'] | Reference Text: <S sid="58" ssid="44">Referential distance In complex sentences, noun phrases in the previous clause2 are the best candidate for the antecedent of an anaphor in the subsequent clause, followed by noun phrases in the previous sentence, then by nouns situated 2 sentences further back and finally nouns 3 sentences further back (2, 1, 0, -1).</S> <S sid="59" ssid="45">For anaphors in simple sentences, noun phrases in the previous senÃÂ­ tence are the best candidate for antecedent, followed by noun phrases situated 2 sentences further back and finally nouns 3 sentences further back {1, 0, -1).</S> <S sid="121" ssid="46">A case where the system failed was when the anaphor and the antecedent were in the same senÃÂ­ tence and where preference was given to a candidate in the preceding sentence.</S> | Discourse Facet: Method_Citation | Annotator: Aakansha Gehlot


Citance Number: 10 | Reference Article: P98-2143.xml | Citing Article: D09-1101.xml | Citation Marker Offset: ['52'] | Citation Marker: 1998 | Citation Offset: ['52'] | Citation Text: <S sid ="52" ssid = "6">Like many heuristic-based pronoun resolvers (e.g., Mitkov (1998)), they first apply a set of constraints to filter grammatically incompatible candidate antecedents and then rank the remaining ones using salience factors.</S> | Reference Offset: ['65','136','23'] | Reference Text: <S sid="23" ssid="9">Antecedent indicators (preferences) play a decisive role in tracking down the antecedent from a set of possible candidates.</S> <S sid="65" ssid="51">We should point out that the antecedent indicators are preferences and not absolute factors.</S> <S sid="136" ssid="61">CogNIAC successfully resolved the pronouns in 75% of the cases.</S> | Discourse Facet: Method_Citation | Annotator: Aakansha Gehlot


Citance Number: 11 | Reference Article: P98-2143.xml | Citing Article: E99-1031.xml | Citation Marker Offset: ['7'] | Citation Marker: Mitkov 1998 | Citation Offset: ['6','7'] | Citation Text: <S sid ="6" ssid = "6">A huge variety of techniques are described in the literature, many of them achieving high sucÃÂÃÂ­ cess rates on their own evaluation texts (cf.</S><S sid ="7" ssid = "7">Hobbs 1986; Strube 1998; Mitkov 1998).</S> | Reference Offset: ['6','95','147'] | Reference Text: <S sid="6" ssid="6">Evaluation reports a success rate of 89.7% which is better than the sucÃÂ­ cess rates of the approaches selected for comparison and tested on the same data.</S> <S sid="95" ssid="20">The resolution of anaphors was carried out with a sucÃÂ­ cess rate of 95.8%.</S> <S sid="147" ssid="8">The robust approach adapted for Polish demonstrated a high success rate of 93.3% in resolvÃÂ­ ing anaphors (with critical success rate of 86.2%).</S> | Discourse Facet: Results_Citation | Annotator: Aakansha Gehlot


Citance Number: 12 | Reference Article: P98-2143.xml | Citing Article: E99-1031.xml | Citation Marker Offset: ['91'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['91'] | Citation Text: <S sid ="91" ssid = "8">We implemented meta-modules to inÃÂÃÂ­ terface to the genetic algorithm driver and to combine different salience factors into an overÃÂÃÂ­ all score (similar to (Carbonell and Brown, 1988; Mitkov, 1998)).</S> | Reference Offset: ['65','104','70'] | Reference Text: <S sid="65" ssid="51">We should point out that the antecedent indicators are preferences and not absolute factors.</S> <S sid="70" ssid="56">The algorithm for pronoun resolution can be deÃÂ­ scribed informally as follows: 1.</S> <S sid="104" ssid="29">From this example we can also see that our knowledge-poor approach successfully tackles cases in which the anaphor and theÃáṗ antecedent have not only different syntactic functions but also different semantic roles.</S> | Discourse Facet: Method_Citation | Annotator: Aakansha Gehlot


Citance Number: 13 | Reference Article: P98-2143.xml | Citing Article: H05-1001.xml | Citation Marker Offset: ['59'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['59'] | Citation Text: <S sid ="59" ssid = "21">The current version of the system includes an implementation of the MARS pronoun resolution algorithm (Mitkov, 1998)</S> | Reference Offset: ['70','135','38'] | Reference Text: <S sid="38" ssid="24">Lexically reiterated items include reÃÂ­ peated synonymous noun phrases which may often be preceded by definite articles or demonstratives.</S> <S sid="70" ssid="56">The algorithm for pronoun resolution can be deÃÂ­ scribed informally as follows: 1.</S> <S sid="135" ssid="60">Given that our approach is robust and returns anÃÂ­ tecedent for each pronoun, in order to make the comparison as fair as possible, we used CogNIAC&apos;s &quot;resolve all&quot; version by simulating it manually on the same training data used in evaluation B above.</S> | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka


Citance Number: 14 | Reference Article: P98-2143.xml | Citing Article: H05-1001.xml | Citation Marker Offset: ['61'] | Citation Marker: 1998 | Citation Offset: ['61','62'] | Citation Text: <S sid ="61" ssid = "23">3.2.1 Pronoun Resolution Mitkov (1998) developed a robust approach to pronoun resolution which only requires input text to be part-of-speech tagged and noun phrases to be identified.</S><S sid ="62" ssid = "24">MitkovÃáẁÃḃÂáṠĠÃḃÂáẁs algorithm operates on the basis of antecedent-tracking preferences (referred to hereafter as ÃáẁÃḃÂáṠĠÃÂantecedent indicatorsÃáẁÃḃÂáṠĠÃÂ).</S> | Reference Offset: ['16','154','70'] | Reference Text: <S sid="16" ssid="2">It makes use of only a part-of-speech tagger, plus simple noun phrase rules (sentence constituents are identified at the level of noun phrase at most) and operates on the basis of antecedent-tracking preferences (referred to hereafter as &quot;antecedent indicators&quot;).</S> <S sid="70" ssid="56">The algorithm for pronoun resolution can be deÃÂ­ scribed informally as follows: 1.</S> <S sid="154" ssid="1">We have described a robust, knowledge-poor apÃÂ­ proach to pronoun resolution which operates on texts pre-processed by a part-of-speech tagger.</S> | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka


Citance Number: 15 | Reference Article: P98-2143.xml | Citing Article: H05-1001.xml | Citation Marker Offset: ['63'] | Citation Marker: 1998 | Citation Offset: ['63'] | Citation Text: <S sid ="63" ssid = "25">The approach works as follows: the system identifies the noun phrases which precede the anaphor within a distance of 2 sentences, checks them for gender and number agreement with the anaphor, and then applies genre- specific antecedent indicators to the remaining candidates (Mitkov, 1998).</S> | Reference Offset: ['17','4','121'] | Reference Text: <S sid="4" ssid="4">Input is checked against agreement and for a number of antecedent indicators.</S> <S sid="17" ssid="3">The approach works as follows: it takes as an input the output of a text processed by a part-of-speech tagger, identifies the noun phrases which precede the anaphor within a distance of 2 sentences, checks them for gender and number agreement with the anaphor and then applies the genre-specific antecedent indicators to the reÃÂ­ maining candidates (see next section).</S> <S sid="121" ssid="46">A case where the system failed was when the anaphor and the antecedent were in the same senÃÂ­ tence and where preference was given to a candidate in the preceding sentence.</S> | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka


Citance Number: 16 | Reference Article: P98-2143.xml | Citing Article: H05-1083.xml | Citation Marker Offset: ['35'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['35'] | Citation Text: <S sid ="35" ssid = "9"> These feature functions bear similarity to rules used in other coreference systems (Lappin and Leass, 1994; Mitkov, 1998; Stuckardt, 2001), except that the feature weights {Ãáṗ i} are automatically trained over a corpus with coreference information.</S> | Reference Offset: ['138','133','143'] | Reference Text: <S sid="133" ssid="58">tive evaluation of Breck Baldwin&apos;s CogNIAC We felt appropriate to extend the evaluation of our approach by comparing it to Breck Baldwin&apos;s CogÃÂ­ NIAC (Baldwin 1997) approach which features &quot;high precision coreference with limited knowledge and linguistics resources&quot;.</S> <S sid="138" ssid="63">For the training data from the genre of technical manuals, it was rule 5 (see Baldwin 1997) which was most frequently used (39% of the cases, 100% success), followed by rule 8 (33% of the cases, 33% success), rule 7 (11%, 100%), rule I (9%, 100%) and rule 3 (7.4%, 100%).</S> <S sid="143" ssid="4">As expected, some of the preferences had to be modified in order to fit with specific features of Polish (Mitkov &amp; Stys 1997).</S> | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka


Citance Number: 17 | Reference Article: P98-2143.xml | Citing Article: H05-1083.xml | Citation Marker Offset: ['123'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['123'] | Citation Text: <S sid ="123" ssid = "1">F-measure here is more stringent than the accuracy (Ge et al., 1998; Mitkov, 1998; Kehler et al., 2004) computed on antecedent-pronoun pairs.</S> | Reference Offset: ['119','16','94'] | Reference Text: <S sid="16" ssid="2">It makes use of only a part-of-speech tagger, plus simple noun phrase rules (sentence constituents are identified at the level of noun phrase at most) and operates on the basis of antecedent-tracking preferences (referred to hereafter as &quot;antecedent indicators&quot;).</S> <S sid="94" ssid="19">There were 71 pronouns in the 140 page technical manual; 7 of the pronouns were non-anaphoric and 16 exophoric.</S> <S sid="119" ssid="44">This measure (Mitkov 1998b) applies only to anaphors &quot;ambiguous&quot; from the point of view of number and gender (i.e. to those &quot;tough&quot; anaphors which, after activating the gender and number filters, still have more than one candidate for antecedent) and is indicative of the performance of the antecedent indicators.</S> | Discourse Facet: Implication_Citation | Annotator: Kokil Jaidka


Citance Number: 18 | Reference Article: P98-2143.xml | Citing Article: I05-2040.xml | Citation Marker Offset: ['15'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['15'] | Citation Text: <S sid ="15" ssid = "15">Early work on pronoun anaphora resolution usually uses rule-based methods (e.g. Hobbs 1976; Ge et al., 1998; Mitkov, 1998), which try to mine the cues of the relation between the pronouns and its antecedents.</S> | Reference Offset: ['8','138','70'] | Reference Text: <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell &amp; Brown 1988; Carter 1987; Hobbs 1978; Ingria &amp; Stallard 1989; Lappin &amp; McCord 1990; Lappin &amp; Leass 1994; Mitkov 1994; Rich &amp; LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="70" ssid="56">The algorithm for pronoun resolution can be deÃÂ­ scribed informally as follows: 1.</S> <S sid="138" ssid="63">For the training data from the genre of technical manuals, it was rule 5 (see Baldwin 1997) which was most frequently used (39% of the cases, 100% success), followed by rule 8 (33% of the cases, 33% success), rule 7 (11%, 100%), rule I (9%, 100%) and rule 3 (7.4%, 100%).</S> | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka


Citance Number: 19 | Reference Article: P98-2143.xml | Citing Article: I08-1004.xml | Citation Marker Offset: ['10'] | Citation Marker: Mitkov 1998 | Citation Offset: ['10'] | Citation Text: <S sid ="10" ssid = "10">Indeed, such feature-based methods have been widely applied in parsing (Collins 1999; Charniak 2001), semantic role labeling (Pradhan et al 2005), semantic relation extraction (Zhou et al 2005) and co-reference resolution (Lapin and Leass 1994; Aone and Bennett 1995; Mitkov 1998; Yang et al 2004; Luo and Zitouni 2005; Bergsma and Lin 2006).</S> | Reference Offset: ['88','106','105'] | Reference Text: <S sid="88" ssid="13">Lack of semantic knowledge rules out the use of verb seÃÂ­ mantics and semantic parallelism.</S> <S sid="105" ssid="30">Usually knowledge-based apÃÂ­ proaches have difficulties in such a situation because they use preferences such as &quot;syntactic parallelism&quot; or &quot;semantic parallelism&quot;.</S> <S sid="106" ssid="31">Our robust approach does not use these because it has no information about the syntactic structure of the sentence or about the synÃÂ­ tactic function/semantic role of each individual word.</S> | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka


Citance Number: 20 | Reference Article: P98-2143.xml | Citing Article: I08-3014.xml | Citation Marker Offset: ['23'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['22','23'] | Citation Text: <S sid ="22" ssid = "22">A lot of work has been done in English for the purpose of anaphora resolution and various</S><S sid ="23" ssid = "23"> algorithms have been devised for this purpose (Aone and Bennette, 1996; Brenan , Friedman and Pollard, 1987; Ge, Hale and Charniak, 1998; Grosz, Aravind and Weinstein, 1995; McCarthy and Lehnert, 1995; Lappins and Leass, 1994; Mitkov, 1998; Soon, Ng and Lim, 1999).</S> | Reference Offset: ['77','14','8'] | Reference Text: <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell &amp; Brown 1988; Carter 1987; Hobbs 1978; Ingria &amp; Stallard 1989; Lappin &amp; McCord 1990; Lappin &amp; Leass 1994; Mitkov 1994; Rich &amp; LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="14" ssid="14">Finally, our evaluation shows that the basic set of antecedent tracking indicators can work well not only for English, but also for other languages (in our case Polish and Arabic).</S> <S sid="77" ssid="2">For this purpose we have drawn up a compreÃÂ­ hensive list of all such cases; to our knowledge, no other computational treatment of pronominal anaphora resoluÃÂ­ tion has addressed the problem of &quot;agreement excepÃÂ­ tions&quot;.</S> | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka


Citance Number: 21 | Reference Article: P98-2143.xml | Citing Article: I08-3014.xml | Citation Marker Offset: ['41'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['41'] | Citation Text: <S sid ="41" ssid = "2">How these factors are helpful in anaphora resolution in English language was worked out by Mitkov (Mitkov, 1998), but their role in Urdu discourse for the resolution of personal pronouns is more cherished.</S> | Reference Offset: ['14','8','1'] | Reference Text: <S sid="1" ssid="1">Most traditional approaches to anaphora resolution rely heavily on linguistic and domain knowledge.</S> <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell &amp; Brown 1988; Carter 1987; Hobbs 1978; Ingria &amp; Stallard 1989; Lappin &amp; McCord 1990; Lappin &amp; Leass 1994; Mitkov 1994; Rich &amp; LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="14" ssid="14">Finally, our evaluation shows that the basic set of antecedent tracking indicators can work well not only for English, but also for other languages (in our case Polish and Arabic).</S> | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka


Citance Number: 22 | Reference Article: P98-2143.xml | Citing Article: J01-4003.xml | Citation Marker Offset: ['5'] | Citation Marker: Mitkov 1998 | Citation Offset: ['5'] | Citation Text: <S sid ="5" ssid = "5">Many hand-tested corpus evaluations have been done in the past (e.g., Walker 1989; Strube 1998; Mitkov 1998; Strube and Hahn 1999), but these have the drawback of being carried out on small corpora.</S> | Reference Offset: ['111','114','113'] | Reference Text: <S sid="111" ssid="36">3.2 Evaluation B. We carried out a second evaluation of the approach on a different set of sample texts from the genre of technical manuals (47-page Portable Style-Writer User&apos;s Guide (Stylewriter 1994).</S> <S sid="113" ssid="38">The evaluation carried out was manual to ensure that no added error was genÃÂ­ erated (e.g. due to possible wrong sentence/clause detection or POS tagging).</S> <S sid="114" ssid="39">Another reason for doing it by hand is to ensure a fair comparison with Breck Baldwin&apos;s method, which not being available to us, had to be hand-simulated (see 3.3).</S> | Discourse Facet: ['Method_Citation','Implication_Citation'] | Annotator: Kokil Jaidka


Citance Number: 23 | Reference Article: P98-2143.xml | Citing Article: J01-4005.xml | Citation Marker Offset: ['318'] | Citation Marker: 1998 | Citation Offset: ['318'] | Citation Text: <S sid ="318" ssid = "14">Consequently, current anaphora resolution methods rely mainly on constraint and preference heuristics, which employ morpho-syntactic information or shallow semantic analysis (see, for example, Mitkov [1998]).</S> | Reference Offset: ['85','8','1'] | Reference Text: <S sid="1" ssid="1">Most traditional approaches to anaphora resolution rely heavily on linguistic and domain knowledge.</S> <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell &amp; Brown 1988; Carter 1987; Hobbs 1978; Ingria &amp; Stallard 1989; Lappin &amp; McCord 1990; Lappin &amp; Leass 1994; Mitkov 1994; Rich &amp; LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="85" ssid="10">For practical reasons, the approach presented does not incorporate syntactic and semantic information (other than a list of domain terms) and it is not realÃÂ­ istic to expect its performance to be as good as an approach which makes use of syntactic and semantic knowledge in terms of constraints and preferences.</S> | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka


Citance Number: 24 | Reference Article: P98-2143.xml | Citing Article: J01-4006.xml | Citation Marker Offset: ['45'] | Citation Marker: Mitkov 1998 | Citation Offset: ['45'] | Citation Text: <S sid ="45" ssid = "33">Exa mple s: (we athe r) It is raini ng, (tim e) It is 5 o&apos;clo ck, and (am bien t envi ron men t) It is hot in here . reports provide no exclusion details at all, and even when authors do provide them, the descriptions they use are often incomplete or confusing, as in these examples: ÃáẁÃḃÂáṠĠÃáẁ &quot;7 of the pronouns were non-anaphoric and 16 exophoric&quot; (Mitkov 1998, page 872).</S> | Reference Offset: ['94','33','13'] | Reference Text: <S sid="13" ssid="13">It is also an example of how anaphors in a specific genre can be resolved quite successfully without any sophisticated linguistic knowledge or even without parsing.</S> <S sid="33" ssid="19">The new information, or rheme, provides some information about the theme.</S> <S sid="94" ssid="19">There were 71 pronouns in the 140 page technical manual; 7 of the pronouns were non-anaphoric and 16 exophoric.</S> | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka


Citance Number: 25 | Reference Article: P98-2143.xml | Citing Article: J02-1001.xml | Citation Marker Offset: ['6'] | Citation Marker: 1998 | Citation Offset: ['6'] | Citation Text: <S sid ="6" ssid = "6">Since the so-called integrative approach to anaphor resolution was developed in the late 1980s (Carbonell and Brown 1988; Rich and LuperFoy 1988; Asher and Wada 1989), and its practical viability extensively tested (e.g., Lappin and Leass 1994; Mitkov 1997, 1998), it has been common wisdom that factors determining the antecedentsof anaphors divide into filters and preferences.</S> | Reference Offset: ['65','95','15'] | Reference Text: <S sid="15" ssid="1">With a view to avoiding complex syntactic, semanÃÂ­ tic and discourse analysis (which is vital for realÃÂ­ world applications), we developed a robust, knowlÃÂ­ edge-poor approach to pronoun resolution which does not parse and analyse the input in order to identify antecedents of anaphors.</S> <S sid="65" ssid="51">We should point out that the antecedent indicators are preferences and not absolute factors.</S> <S sid="95" ssid="20">The resolution of anaphors was carried out with a sucÃÂ­ cess rate of 95.8%.</S> | Discourse Facet: Implication_Citation | Annotator: Kokil Jaidka


Citance Number: 26 | Reference Article: P98-2143.xml | Citing Article: J05-3004.xml | Citation Marker Offset: ['8'] | Citation Marker: 1998 | Citation Offset: ['7','8'] | Citation Text: <S sid ="7" ssid = "7">Most work on anaphora resolution has focused on pronominal anaphora, often achieving good accuracy.</S><S sid ="8" ssid = "8">Kennedy and Boguraev (1996), Mitkov (1998), and Strube, Rapp, and Mueller (2002), for example, report accuracies of 75.0%, 89.7%, and an F-measure of 82.8% for personal pronouns, respectively.</S> | Reference Offset: ['8','136','1'] | Reference Text: <S sid="1" ssid="1">Most traditional approaches to anaphora resolution rely heavily on linguistic and domain knowledge.</S> <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell &amp; Brown 1988; Carter 1987; Hobbs 1978; Ingria &amp; Stallard 1989; Lappin &amp; McCord 1990; Lappin &amp; Leass 1994; Mitkov 1994; Rich &amp; LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="136" ssid="61">CogNIAC successfully resolved the pronouns in 75% of the cases.</S> | Discourse Facet: ['Aim_Citation','Results_Citation'] | Annotator: Kokil Jaidka


