Citance Number: 1 | Reference Article:  C94-1032.txt | Citing Article:  C96-1036.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >N-gram models arc usually used for scoring (Gu et al, 1991) (Nagata, 1994), but their training requires the sentences of the corpus to be manualy segmented, and even class-tagged if class-based N-gram is used, as in (Nagata, 1994).</S> | Reference Offset:  ['180','190'] | Reference Text:  <S sid = 180 ssid = >Figure 5 shows tile percentage of sentences (not words) correctly segmented and tagged.</S><S sid = 190 ssid = >The tagging models previously used are either part of speech I)igram [9, 14] or Character-based IIMM [12].</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  C94-1032.txt | Citing Article:  P11-2093.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['72','231'] | Reference Text:  <S sid = 72 ssid = >In the forward search, we use a table called parse-list, whose key is the end position of the parse  structure, and wlm,se value is a list of parse structures that have the best partial path scores for each combined state at the end position.</S><S sid = 231 ssid = >IPSJ, Vol.30, No.3, pp.294-301, 1989 (in Japanese).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  C94-1032.txt | Citing Article:  W97-0120.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Around 95% word segmentation accuracy is reported by using a word-based language model and the Viterbi-like dynamic programming procedure [Nagata, 1994, Takeuchi and Matsumoto, 1995, Yamamoto, 1996].</S> | Reference Offset:  ['171','211'] | Reference Text:  <S sid = 171 ssid = >Since the segmentation accuracy of the proposed sys- tem is relatively high (97.7% recall and 97.2% precision for the top candidate) compared to the morphologi- cal analysis accuracy, it is likely that we can improve the part of speech assignment accuracy by refining the statistically-based tagging model.</S><S sid = 211 ssid = >Its word segmentation a d tagging accuracy is approxlmatcly 95%, which is comparable to the star.e- of-the-art stochastic tagger for English.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  C94-1032.txt | Citing Article:  W97-0120.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We used the Viterbi-like dynamic programming procedure described in [Nagata, 1994] to get the most likely word segmentation.</S> | Reference Offset:  ['54','88'] | Reference Text:  <S sid = 54 ssid = >First, a linear time dynamic programming is used for record- ing the scores of all partial paths in a table 3.</S><S sid = 88 ssid = >For the backward N-best search, how(wet, we want N most likely word segmentation and part of speech sequence.</S> | Discourse Facet:  NA | Annotator: Automatic


