Citance Number: 1 | Reference Article: P05-1004.xml | Citing Article: C10-2101.xml | Citation Marker Offset: ['74'] | Citation Marker: Curran, 2005 | Citation Offset: ['74'] | Citation Text: <S sid ="74" ssid = "44">Another related task is supersense tagging (Ciaramita and Johnson, 2003; Curran, 2005; Ciaramita and Altun, 2006).</S> | Reference Offset: ['168','162','64'] | Reference Text: <S sid="64" ssid="17">This same technique as is used in our approach to supersense tagging.</S> <S sid="162" ssid="16">Another approach is to use the scores returned by the similarity system.</S> <S sid="168" ssid="22">Another alternative is to only consider unambiguous synonyms with a single supersense in WORDNET.</S> | Discourse Facet: Method_Citation | Annotator: Mark Able, Re


Citance Number: 2 | Reference Article: P05-1004.xml | Citing Article: E09-1045.xml | Citation Marker Offset: ['23'] | Citation Marker: Curran, 2005 | Citation Offset: ['23'] | Citation Text: <S sid ="23" ssid = "23">In contrast, some research have been focused on using predefined sets of sense-groupings for learning class-based classifiers for WSD (Segond et al., 1997), (Ciaramita and Johnson, 2003), (Villarejo et al., 2005), (Curran, 2005) and (Ciaramita and Altun, 2006).</S> | Reference Offset: ['65','7','226'] | Reference Text: <S sid="7" ssid="7">In particular, WORDNET (Fellbaum, 1998) has significantly influenced research in NLP.</S> <S sid="65" ssid="18">Ciaramita and Johnson (2003) implement a super- sense tagger based on the multi-class perceptron classifier (Crammer and Singer, 2001), which uses the standard collocation, spelling and syntactic features common in WSD and named entity recognition systems.</S> <S sid="226" ssid="2">To classify a previously unseen common noun our approach extracts synonyms which vote using their supersenses in WORDNET 1.6.</S> | Discourse Facet: Method_Citation | Annotator: Mark Able, Re


Citance Number: 3 | Reference Article: P05-1004.xml | Citing Article: J07-4005.xml | Citation Marker Offset: ['229'] | Citation Marker: 2005 | Citation Offset: ['229'] | Citation Text: <S sid ="229" ssid = "72">Although we could adapt our method for use with an automatically induced inventory, our method which uses WordNet might also be combined with one that can automatically find new senses from text and then relate these to WordNet synsets, as Ciaramita and Johnson (2003) and Curran (2005) do with unknown nouns.</S> | Reference Offset: ['147','18','36'] | Reference Text: <S sid="18" ssid="18">These problems demonstrate the need for automatic or semiautomatic methods for the creation and maintenance of lexical-semantic resources.</S> <S sid="36" ssid="10">There are 11 unique beginners in the WORDNET noun hierarchy which could also be used as supersenses.</S> <S sid="147" ssid="1">Our approach uses voting across the known supersenses of automatically extracted synonyms, to select a super- sense for the unknown nouns.</S> | Discourse Facet: Method_Citation | Annotator: Sweta Kumari


Citance Number: 4 | Reference Article: P05-1004.xml | Citing Article: J09-3004.xml | Citation Marker Offset: ['446'] | Citation Marker: Curran 2005 | Citation Offset: ['446'] | Citation Text: <S sid ="446" ssid = "30">An additional potential is to integrate automatically acquired relationships with the information found in WordNet, which seems to suffer from several serious limitations (Curran 2005), and typically overlaps to a rather limited extent with the output of automatic acquisition methods.</S> | Reference Offset: ['1','18','231'] | Reference Text: <S sid="1" ssid="1">The limited coverage of lexical-semantic resources is a significant problem for NLP systems which can be alleviated by automatically classifying the unknown words.</S> <S sid="18" ssid="18">These problems demonstrate the need for automatic or semiautomatic methods for the creation and maintenance of lexical-semantic resources.</S> <S sid="231" ssid="7">Such a corpus is needed to acquire reliable contextual information for the often very rare nouns we are attempting to supersense tag.</S> | Discourse Facet: Method_Citation | Annotator: Sweta Kumari

