Citance Number: 1 | Reference Article:  W02-1503.txt | Citing Article:  P10-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Over the past few years, there has been considerable progress in the ability of manually created large-scale grammars, such as the English Resource Grammar (ERG, Copestake and Flickinger (2000)) or the ParGram grammars (Butt et al, 2002), to parse wide-coverage text and assign it deep semantic representations.</S> | Reference Offset:  ['21','23'] | Reference Text:  <S sid = 21 ssid = >The coverage of the grammars implemented in LSGRAM was, however, much smaller than the coverage of the English (Riezler et al., 2002) or German grammar in ParGram.</S><S sid = 23 ssid = >In the Verbmobil project (Wahlster, 2000), HPSG grammars for English, German, and Japanese were developed on two platforms: LKB (Copestake, 2002) and PAGE.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W02-1503.txt | Citing Article:  W07-0809.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >These tools have been developed to serve an Arabic Lexical Functional Grammar parser using XLE (Xerox Linguistics Environment) platform as part of the ParGram Project (Butt et al 2002).</S> | Reference Offset:  ['1','5'] | Reference Text:  <S sid = 1 ssid = >We report on the Parallel Grammar (ParGram) project which uses the XLE parser and grammar development platform for six languages: English,</S><S sid = 5 ssid = >In this paper, we report on the Parallel Grammar (ParGram) project (Butt et al., 1999) which uses the XLE parser and grammar development platform (Maxwell and Kaplan, 1993) for six languages: English, French, German, Japanese, Norwegian, and Urdu.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W02-1503.txt | Citing Article:  W07-1209.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The experiments reported in this paper use the English LFG grammar constructed as part of the ParGram project (Butt et al, 2002).</S> | Reference Offset:  ['5','21'] | Reference Text:  <S sid = 5 ssid = >In this paper, we report on the Parallel Grammar (ParGram) project (Butt et al., 1999) which uses the XLE parser and grammar development platform (Maxwell and Kaplan, 1993) for six languages: English, French, German, Japanese, Norwegian, and Urdu.</S><S sid = 21 ssid = >The coverage of the grammars implemented in LSGRAM was, however, much smaller than the coverage of the English (Riezler et al., 2002) or German grammar in ParGram.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W02-1503.txt | Citing Article:  W10-3007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We parse a tree bank with the XLE platform (Crouch et al, 2008) and the English grammar developed within the ParGram project (Butt et al, 2002).</S> | Reference Offset:  ['5','21'] | Reference Text:  <S sid = 5 ssid = >In this paper, we report on the Parallel Grammar (ParGram) project (Butt et al., 1999) which uses the XLE parser and grammar development platform (Maxwell and Kaplan, 1993) for six languages: English, French, German, Japanese, Norwegian, and Urdu.</S><S sid = 21 ssid = >The coverage of the grammars implemented in LSGRAM was, however, much smaller than the coverage of the English (Riezler et al., 2002) or German grammar in ParGram.</S> | Discourse Facet:  NA | Annotator: Automatic


