Citance Number: 1 | Reference Article:  W01-0501.txt | Citing Article:  P14-2021.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Similarly, in a case study on co-training for natural language tasks, Pierce and Cardie (2001) find that the degradation in data quality from automatic labelling prevents these systems from performing comparably to their fully-supervised counterparts.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This case study of co-training for natural language learning addresses the scalability question using the task of base noun phrase identification.</S><S sid = NA ssid = NA>Cardie et al. (2000)) systems.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W01-0501.txt | Citing Article:  D07-1051.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Pierce and Cardie (2001) have shown, however, that for tasks which require large numbers of labeled examples such as most NLP tasks co training might be inadequate because it tends to generate noisy data.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This study examines the learning behavior of co-training on natural language processing tasks that typically require large numbers of training instances to achieve usable performance levels.</S><S sid = NA ssid = NA>In particular, many natural language learning tasks contrast sharply with the classification tasks previously studied in conjunction with co-training in that they require hundreds of thousands, rather than hundreds, of training examples.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W01-0501.txt | Citing Article:  N06-2014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We observed the same pattern in co-training; its accuracy peaked after two iterations (85.1%) and then performance degraded drastically (68% after five iterations) due in part to an increase in mislabeled data in the training set (as previously observed in (Pierce and Cardie, 2001)) and in part because the data skew is not controlled for.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This enables bootstrapping from a small set of labeled training data via a large set of unlabeled data.</S><S sid = NA ssid = NA>A straightforward solution to this problem is to have a human anized, as co-training achieves 95.03% accuracy, just 0.14% away from the goal, after 600 iterations (and reaches 95.12% after 800 iterations).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W01-0501.txt | Citing Article:  W03-0407.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For naive co-training, new samples will always be added, and so there is a possibility that the noise accumulated at later stages will start to degrade performance (see Pierce and Cardie (2001)).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We leave evaluation of this possibility to future work.</S><S sid = NA ssid = NA>Finally, we note that the accuracy of automatically accumulated training data is an important issue for many bootstrapping learning methods (e.g.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  W01-0501.txt | Citing Article:  W03-0407.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The opposite behaviour has been observed in other applications of co-training (Pierce and Cardie, 2001).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Cardie and Pierce (1998)), memory-based sequence learning (e.g.</S><S sid = NA ssid = NA>Co-Training.</S> | Discourse Facet:  NA | Annotator: Automatic


