Citance Number: 1 | Reference Article:  J93-1004.txt | Citing Article:  A94-1013.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Labeling of sentence boundaries is a necessary prerequisite for many natural language processing (NLP) tasks, including part-of-speech tagging (Church, 1988), (Cutting et al, 1991), and sentence alignment (Gale and Church, 1993), (Kay and RSscheisen, 1993).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Church, K. (1988).</S><S sid = NA ssid = NA>We have found that a sentence in one language normally matches exactly one sentence in the other language (1-1).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J93-1004.txt | Citing Article:  P13-1135.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For each aligned pair of text chunks, perform the sentence alignment method of Gale and Church (1993).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>However, we have found that words do not perform as well as characters.</S><S sid = NA ssid = NA>The method correctly aligned all but 4% of the sentences.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J93-1004.txt | Citing Article:  P13-1135.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For each aligned text chunk pair, we perform sentence alignment using the algorithm of Gale and Church (1993).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>However, we have found that words do not perform as well as characters.</S><S sid = NA ssid = NA>First paragraphs are aligned, and then sentences within a paragraph are aligned.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J93-1004.txt | Citing Article:  E09-1003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Gale and Church (1993) based their align program on the fact that longer sentences in one language tend to be translated into longer sentences in the other language, and that shorter sentences tend to be translated into shorter sentences.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The program uses the fact that longer sentences in one language tend to be translated into longer sentences in the other language, and that shorter sentences tend to be translated into shorter sentences.</S><S sid = NA ssid = NA>The program uses the fact that longer sentences in one language tend to be translated into longer sentences in the other language, and that shorter sentences tend to be translated into shorter sentences.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  J93-1004.txt | Citing Article:  W06-3111.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Previous investigations can be found in works such as (Gale and Church, 1993).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>It is remarkable that such a simple approach works as well as it does.</S><S sid = NA ssid = NA>It is remarkable that such a simple approach works as well as it does.</S> | Discourse Facet:  NA | Annotator: Automatic


