Citance Number: 1 | Reference Article:  N12-1052.txt | Citing Article:  W12-1914.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['48','194'] | Reference Text:  <S sid = 48 ssid = >For all experiments we fixed the number of clusters to 256 as this performed well on held-out data.</S><S sid = 194 ssid = >All word alignments for the cross-lingual clusterings were produced with the dual decomposition aligner described by DeNero and Macherey (2011) using 10.5 million (DA) to 12.1 million (FR) sentences of aligned web data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  N12-1052.txt | Citing Article:  W12-1914.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['48','194'] | Reference Text:  <S sid = 48 ssid = >For all experiments we fixed the number of clusters to 256 as this performed well on held-out data.</S><S sid = 194 ssid = >All word alignments for the cross-lingual clusterings were produced with the dual decomposition aligner described by DeNero and Macherey (2011) using 10.5 million (DA) to 12.1 million (FR) sentences of aligned web data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  N12-1052.txt | Citing Article:  P14-2106.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['48','194'] | Reference Text:  <S sid = 48 ssid = >For all experiments we fixed the number of clusters to 256 as this performed well on held-out data.</S><S sid = 194 ssid = >All word alignments for the cross-lingual clusterings were produced with the dual decomposition aligner described by DeNero and Macherey (2011) using 10.5 million (DA) to 12.1 million (FR) sentences of aligned web data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  N12-1052.txt | Citing Article:  P14-2106.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Recently, Tackstrom et al (2012) tested the incorporation of cluster features from unlabeled corpora in a multilingual setting, giving an algorithm for inducing cross-lingual clusters.</S> | Reference Offset:  ['4','102'] | Reference Text:  <S sid = 4 ssid = >Second, and more interestingly, we provide an algorithm for inducing cross-lingual clusters and we show that features derived from these clusters significantly improve the accuracy of cross-lingual structure prediction.</S><S sid = 102 ssid = >Our first method for inducing cross-lingual clusters has two stages.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  N12-1052.txt | Citing Article:  W12-1908.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Specifically, we extend the method recently proposed by Tackstrom et al (2012), which is based on cross-lingual word cluster features.</S> | Reference Offset:  ['42','91'] | Reference Text:  <S sid = 42 ssid = >Recently, Dhillon et al. (2011) proposed a word embedding method based on canonical correlation analysis that provides state-of-the art results for wordbased SSL for English NER.</S><S sid = 91 ssid = >Below, we extend this approach to universal parsing by adding cross-lingual word cluster features.</S> | Discourse Facet:  NA | Annotator: Automatic


