Citance Number: 1 | Reference Article:  J96-3004.xml | Citing Article:  A00-2032.xml | Citation Marker Offset:  ['142'] | Citation Marker:  1996 | Citation Offset:  ['141','142'] | Citation Text:  <S sid ="141" ssid = "10">Chinese According to Sproat et al.</S><S sid ="142" ssid = "11">(1996), most prior work in Chinese segmentation has exploited lexical knowledge bases; indeed, the authors assert that they were aware of only one previously pubÂ­ lished instance (the mutual-information method of Sproat and Shih (1990)) of a purely statistical apÂ­ proach.</S> | Reference Offset:  ['89','90','91'] | Reference Text:  <S sid ="89" ssid = "27">Roughly speaking, previous work can be divided into three categories, namely purely statistical approaches, purely lexiÂ­ cal rule-based approaches, and approaches that combine lexical information with staÂ­ tistical information.</S><S sid ="90" ssid = "28">The present proposal falls into the last group.</S><S sid ="91" ssid = "29">Purely statistical approaches have not been very popular, and so far as we are aware earlier work by Sproat and Shih (1990) is the only published instance of such an approach.</S> | Discourse Facet:  Method_Citation | Annotator:  Ankita Patel |


Citance Number: 3 | Reference Article:  J96-3004.xml | Citing Article:  C00-2095.xml | Citation Marker Offset:  ['80'] | Citation Marker:  Sproat ct a.l., 1996 | Citation Offset:  ['80'] | Citation Text:  <S sid ="80" ssid = "25">As (Sproat ct a.l., 1996) testify, several native Chinese speakers do not always agree on one unique tokeniza.tion for a. given sentence.</S> | Reference Offset:  ['297','298'] | Reference Text:  <S sid ="297" ssid = "6">The problem with these styles of evaluation is that, as we shall demonstrate, even human judges do not agree perfectly on how to segment a given text.</S><S sid ="298" ssid = "7">Thus, rather than give a single evaluative score, we prefer to compare the performance of our method with the judgments of several human subjects.</S> | Discourse Facet:  Implication_Citation | Annotator:  Ankita Patel |


Citance Number: 4 | Reference Article:  J96-3004.xml | Citing Article:  C02-1049.xml | Citation Marker Offset:  ['58'] | Citation Marker:  Sproat et al, 1996 | Citation Offset:  ['58'] | Citation Text:  <S sid ="58" ssid = "39">Conventionally a word segmentation process identifies the words in input text by matching lexical entries and resolving the ambiguous matching (Chen &amp; Liu, 1992, Sproat et al, 1996).</S> | Reference Offset:  ['108','109','112'] | Reference Text:  <S sid ="108" ssid = "46">The most popular approach to dealing with segÂ­ mentation ambiguities is the maximum matching method, possibly augmented with further heuristics.</S><S sid ="109" ssid = "47">This method, one instance of which we term the &quot;greedy algorithm&quot; in our evaluation of our own system in Section 5, involves starting at the beginning (or end) of the sentence, finding the longest word starting (ending) at that point, and then repeating the process starting at the next (previous) hanzi until the end (begin­ ning) of the sentence is reached.</S><S sid ="112" ssid = "50">The simplest version of the maximum matching algorithm effectively deals with ambiguity by ignoring it, since the method is guaranteed to produce only one segmentation.</S> | Discourse Facet:  Method_Citation | Annotator:  Ankita Patel |


Citance Number: 5 | Reference Article:  J96-3004.xml | Citing Article:  C02-1049.xml | Citation Marker Offset:  ['127'] | Citation Marker:  Sproat et al, 1996 | Citation Offset:  ['125','126','127'] | Citation Text:  <S sid ="124" ssid = "105">Mutu al infor matio n-like statist ics are very often adopt ed in meas uring assoc iation stren gth msi (?)</S><S sid ="127" ssid = "108">dsi +1 () combine (i, i + 1) 1993, Sproat et al, 1996)</S> | Reference Offset:  ['92','93'] | Reference Text:  <S sid ="92" ssid = "30">In that work, mutual information was used to decide whether to group adjacent hanzi into two-hanzi words.</S><S sid ="93" ssid = "31">Mutual information was shown to be useful in the segmentation task given that one does not have a dictionary.</S> | Discourse Facet:  Method_Citation | Annotator:  Ankita Patel |

