Citance Number: 1 | Reference Article:  P03-1001.txt | Citing Article:  W04-3251.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Fleischman et al., 2003) also propose a supervised algorithm that uses part of speech patterns and a large corpus to extract semantic relations for Who-is type questions.</S> | Reference Offset:  ['15','20'] | Reference Text:  <S sid = 15 ssid = >Our strategy is to collect a large sample of newspaper text (15GB) and use multiple part of speech patterns to extract the semantic relations.</S><S sid = 20 ssid = >While this paper examines only this type of relation, the techniques we propose are easily extensible to other question types.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P03-1001.txt | Citing Article:  W09-1116.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We also made use of the person-name/instance pairs automatically extracted by Fleischman et al (2003).</S> | Reference Offset:  ['52','86'] | Reference Text:  <S sid = 52 ssid = >The concept-instance pairs extracted using the above patterns are very noisy.</S><S sid = 86 ssid = >Answers to these questions were then automatically generated both by look-up in the 2,000,000 extracted concept-instance pairs and by TextMap, a state of the art web-based Question Answering system which ranked among the top 10 systems in the TREC 11 Question Answering track (Hermjakob et al., 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P03-1001.txt | Citing Article:  C04-1111.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Mann (2002) and Fleischman et al (2003) used part of speech patterns to extract a subset of hyponym relations involving proper nouns.</S> | Reference Offset:  ['29','46'] | Reference Text:  <S sid = 29 ssid = >Finally, Mann (2002) describes a method for extracting instances from text that takes advantage of part of speech patterns involving proper nouns.</S><S sid = 46 ssid = >Table 1 shows the regular expression used to extract such patterns along with examples of extracted patterns.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P03-1001.txt | Citing Article:  C04-1111.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Some of these patterns are similar to the ones discovered by Hearst (1992) while other patterns are similar to the ones used by Fleischman et al (2003).</S> | Reference Offset:  ['44','116'] | Reference Text:  <S sid = 44 ssid = >Such patterns (e.g.</S><S sid = 116 ssid = >7 In this way, we envision a system similar to (Lin et al., 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P03-1001.txt | Citing Article:  C04-1111.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Following Fleischman et al (2003), we select the 50 definition questions from the TREC2003 (Voorhees 2003) question set.</S> | Reference Offset:  ['84','86'] | Reference Text:  <S sid = 84 ssid = >100 questions of the form “Who is x” were randomly selected from this set.</S><S sid = 86 ssid = >Answers to these questions were then automatically generated both by look-up in the 2,000,000 extracted concept-instance pairs and by TextMap, a state of the art web-based Question Answering system which ranked among the top 10 systems in the TREC 11 Question Answering track (Hermjakob et al., 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


