Citance Number: 1 | Reference Article:  W99-0623.txt | Citing Article:  A00-2005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Henderson and Brill (1999) showed that independent human research efforts produce parsers that can be combined for an overall boost in accuracy.</S> | Reference Offset:  ['1','112'] | Reference Text:  <S sid = 1 ssid = >Three state-of-the-art statistical parsers are combined to produce more accurate parses, as well as new bounds on achievable Treebank parsing accuracy.</S><S sid = 112 ssid = >The second row is the accuracy of the best of the three parsers.'</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W99-0623.txt | Citing Article:  A00-2005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Given a novel sentence Stest E Ctest, combine the collection of hypotheses ti = fi(Stest) using the unweighted constituent voting scheme of Henderson and Brill (1999).</S> | Reference Offset:  ['23','41'] | Reference Text:  <S sid = 23 ssid = >We call this technique constituent voting.</S><S sid = 41 ssid = >IL+-1Proof: Assume a pair of crossing constituents appears in the output of the constituent voting technique using k parsers.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W99-0623.txt | Citing Article:  N10-1091.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['54','148'] | Reference Text:  <S sid = 54 ssid = >If the parse contains productions from outside our grammar the machine has no direct method for handling them (e.g. the resulting database query may be syntactically malformed).</S><S sid = 148 ssid = >Both authors are members of the Center for Language and Speech Processing at Johns Hopkins University.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W99-0623.txt | Citing Article:  N10-1091.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Henderson and Brill, 1999) used a similar framework in the context of constituent parsing and only three base parsers.</S> | Reference Offset:  ['14','96'] | Reference Text:  <S sid = 14 ssid = >We used these three parsers to explore parser combination techniques.</S><S sid = 96 ssid = >We call such a constituent an isolated constituent.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  W99-0623.txt | Citing Article:  W05-1518.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A successful application of voting and of a stacked classifier to constituent parsing followed in (Henderson and Brill, 1999).</S> | Reference Offset:  ['23','120'] | Reference Text:  <S sid = 23 ssid = >We call this technique constituent voting.</S><S sid = 120 ssid = >The precision and recall of similarity switching and constituent voting are both significantly better than the best individual parser, and constituent voting is significantly better than parser switching in precision.4 Constituent voting gives the highest accuracy for parsing the Penn Treebank reported to date.</S> | Discourse Facet:  NA | Annotator: Automatic


