Citance Number: 1 | Reference Article:  C08-1098.txt | Citing Article:  C10-2023.txt | Citation Marker Offset:  ['122'] | Citation Marker:  Schmid and Laws, 2008 | Citation Offset:  ['122'] | Citation Text:  <S sid ="122" ssid = "9">Additional German tags are obtained using the RFTagger 2 toolkit, which annotates text with fine-grained part-of-speech tags (Schmid and Laws, 2008) with a vocabulary of more than 700 tags containing rich morpho-syntactic information (gender, number, case, tense, etc.).</S> | Reference Offset:  ['5','6','127'] | Reference Text:  <S sid ="5" ssid = "5">Tagsets of this size contain little or no information about number, gender, case and similar morphosyntac- tic features.</S><S sid ="6" ssid = "6">For languages with a rich morphology such as German or Czech, more fine-grained tagsets are often considered more appropriate.</S><S sid ="127" ssid = "7">It is annotated with POS tags from the coarse-grained STTS tagset and with additional features encoding information about number, gender, case, person, degree, tense, and mood.</S> | Discourse Facet:  ['Implication_Citation','Results_Citation'] | Annotator:  Kokil Jaidka |


Citance Number: 2 | Reference Article:  C08-1098.txt | Citing Article:  D12-1133.txt | Citation Marker Offset:  ['208'] | Citation Marker:  Schmid and Laws, 2008 | Citation Offset:  ['208'] | Citation Text:  <S sid ="208" ssid = "99">For German, we obtain a tagging accuracy of 97.24, which is close to the 97.39 achieved by the RFTagger (Schmid and Laws, 2008), which to our knowledge is the best tagger for German</S> | Reference Offset:  ['100'] | Reference Text:  <S sid ="100" ssid = "6">The tagger may use an external lexicon which supplies entries for additional words which are not found in the training corpus, and additional tags for words which did occur in the training data.</S> | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka |


Citance Number: 3 | Reference Article:  C08-1098.txt | Citing Article:  D12-1133.txt | Citation Marker Offset:  ['228'] | Citation Marker:  Schmid and Laws, 2008 | Citation Offset:  ['228'] | Citation Text:  <S sid ="228" ssid = "119">For German, finally, we see the greatest improvement with k = 3 tional words that are not found in the training corpus and additional tags for words that do occur in the training data (Schmid and Laws, 2008).</S> | Reference Offset:  ['167'] | Reference Text:  <S sid ="167" ssid = "47">3 9 97.57 97.97 Table 3: STTS accuracies of the TnT tagger trained on the STTS tagset, the TnT tagger trained on the Tiger tagset, and our tagger trained on the Tiger tagset.</S> | Discourse Facet:  Results_Citation | Annotator:  Kokil Jaidka |


Citance Number: 4 | Reference Article:  C08-1098.txt | Citing Article:  D13-1032.txt | Citation Marker Offset:  ['212'] | Citation Marker:  Schmid and Laws, 2008 | Citation Offset:  ['212'] | Citation Text:  <S sid ="212" ssid = "20">We use the following baselines: SVMTool (GimeÂ´nez and Ma`rquez, 2004), an SVM-based dis- criminative tagger; RFTagger (Schmid and Laws, 2008), an n-gram Hidden Markov Model (HMM) tagger developed for POS+MORPH tagging;</S> | Reference Offset:  ['4'] | Reference Text:  <S sid ="4" ssid = "4">A Hidden-Markov-Model part-of-speech tagger (Brants, 2000, e.g.) computes the most probable POS tag sequence tË†N = tË†1, ..., tË†N for a given word sequence wN . POS taggers are usually trained on corpora with between 50 and 150 different POS tags.</S> | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka |


