Citance Number: 1 | Reference Article:  P95-1050.txt | Citing Article:  W97-0119.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>A similar idea is later applied by (Rapp 1995) to show the plausibility of correlations between words in non-parallel text.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>As a further step, even with non parallel corpora it should be possible to locate comparable passages of text.</S><S sid = NA ssid = NA>Identifying Word Translations In Non-Parallel Texts</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P95-1050.txt | Citing Article:  W02-0902.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Theoretically, it is possible to use these methods to build a translation lexicon from scratch [Rapp, 1995].</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The co-occurrence frequencies obtained in this way were used to build up the English matrix.</S><S sid = NA ssid = NA>Word a in the English matrix is then the translation of word a in the German matrix.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P95-1050.txt | Citing Article:  C04-1151.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Thanks also to Graham Russell and three anonymous reviewers for valuable comments on the manuscript.</S><S sid = NA ssid = NA>Starting from an English vocabulary of six words and the corresponding German translations, table la and b show an English and a German co-occurrence matrix.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P95-1050.txt | Citing Article:  C04-1151.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Thanks also to Graham Russell and three anonymous reviewers for valuable comments on the manuscript.</S><S sid = NA ssid = NA>Starting from an English vocabulary of six words and the corresponding German translations, table la and b show an English and a German co-occurrence matrix.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P95-1050.txt | Citing Article:  P13-1040.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Thanks also to Graham Russell and three anonymous reviewers for valuable comments on the manuscript.</S><S sid = NA ssid = NA>Starting from an English vocabulary of six words and the corresponding German translations, table la and b show an English and a German co-occurrence matrix.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P95-1050.txt | Citing Article:  W04-3208.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Thanks also to Graham Russell and three anonymous reviewers for valuable comments on the manuscript.</S><S sid = NA ssid = NA>Starting from an English vocabulary of six words and the corresponding German translations, table la and b show an English and a German co-occurrence matrix.</S> | Discourse Facet:  NA | Annotator: Automatic


