Citance Number: 1 | Reference Article:  J99-4005.txt | Citing Article:  P01-1050.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The bias introduced by TMEMs is a practical alternative to finding optimal translations, which is NP-complete (Knight, 1999).</S> | Reference Offset:  ['81','109'] | Reference Text:  <S sid = 81 ssid = >Next we give separate polynomial-time reductions from two NP-complete problems.</S><S sid = 109 ssid = >In that case, finding a legal word ordering is like finding a complete circuit in a graph.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J99-4005.txt | Citing Article:  P13-1001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >However, as phrase-based decoding usually casts translation as a string concatenation problem and permits arbitrary permutation, it proves to be NP-complete (Knight, 1999).</S> | Reference Offset:  ['5','104'] | Reference Text:  <S sid = 5 ssid = >We show that for the simplest form of statistical models, this problem is NP-complete, i.e., probably exponential in the length of the observed sentence.</S><S sid = 104 ssid = >We note that Brew (1992) discusses the NPcompleteness of a related problem, that of finding some permutation of a string that is acceptable to a given context-free grammar.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J99-4005.txt | Citing Article:  E06-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In (Knight,1999) it was proved that the Exact Decoding problem is NP-Hard when the language model is a bigram model.</S> | Reference Offset:  ['38','107'] | Reference Text:  <S sid = 38 ssid = >As with tagging, we can assume an alphabet of v source tokens, a bigram source model, a substitution channel model, and an m-token coded text.</S><S sid = 107 ssid = >If we assume that the channel model offers deterministic, word-for-word translations, then the bigram source model takes responsibility for ordering them.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J99-4005.txt | Citing Article:  E06-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Note that our results for decoding are sharper than that of (Knight, 1999).</S> | Reference Offset:  ['104','105'] | Reference Text:  <S sid = 104 ssid = >We note that Brew (1992) discusses the NPcompleteness of a related problem, that of finding some permutation of a string that is acceptable to a given context-free grammar.</S><S sid = 105 ssid = >Both of these results deal with decision problems.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  J99-4005.txt | Citing Article:  H05-1021.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >However allowing reordering in translation is computationally expensive and in some cases even provably NP-complete (Knight, 1999).</S> | Reference Offset:  ['81','148'] | Reference Text:  <S sid = 81 ssid = >Next we give separate polynomial-time reductions from two NP-complete problems.</S><S sid = 148 ssid = >Finally, expensive decoding also suggests expensive training from unannotated (monolingual) texts, which presents a challenging bottleneck for extending statistical machine translation to language pairs and domains where large bilingual corpora do not exist.</S> | Discourse Facet:  NA | Annotator: Automatic


