Citance Number: 1 | Reference Article:  W04-3247.txt | Citing Article:  I05-2004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Earlier experiments with graph-based ranking algorithms for text summarization, as previously re ported in (Mihalcea and Tarau, 2004) and (Erkanand Radev, 2004), were either limited to single document English summarization, or they were applied to English multi-document summarization, but in conjunction with other extractive summarization techniques that did not allow for a clear evaluation of the impact of the graph algorithms alone.</S> | Reference Offset:  ['0','14'] | Reference Text:  <S sid = 0 ssid = >LexPageRank: Prestige In Multi-Document Text Summarization</S><S sid = 14 ssid = >Test data for our experiments is taken from Document Understanding Conferences (DUC) 2004 summarization evaluation to compare our system also with other state-of-the-art summarization systems.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W04-3247.txt | Citing Article:  I05-2004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['36','145'] | Reference Text:  <S sid = 36 ssid = >In a cluster of related documents, many of the sentences are expected to be somewhat similar to each other since they are all about the same topic.</S><S sid = 145 ssid = >Even the simplest approach we have taken, degree centrality, is a good enough heuristic to perform better than lead-based and centroid-based summaries.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W04-3247.txt | Citing Article:  I05-2004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['36','145'] | Reference Text:  <S sid = 36 ssid = >In a cluster of related documents, many of the sentences are expected to be somewhat similar to each other since they are all about the same topic.</S><S sid = 145 ssid = >Even the simplest approach we have taken, degree centrality, is a good enough heuristic to perform better than lead-based and centroid-based summaries.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W04-3247.txt | Citing Article:  C10-1111.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The method first constructs a sentence connectivity graph based on cosine similarity and then selects important sentences based on the concept of eigenvector centrality (Erkan and Radev, 2004).</S> | Reference Offset:  ['3','4'] | Reference Text:  <S sid = 3 ssid = >We are now considering an approach for computing sentence importance based on the concept of eigenvector centrality (prestige) that we call LexPageRank.</S><S sid = 4 ssid = >In this model, a sentence connectivity matrix is constructed based on cosine similarity.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  W04-3247.txt | Citing Article:  D08-1079.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Lex PageRank (Erkan and Radev, 2004) is an approach for computing sentence importance based on the concept of eigenvector centrality.</S> | Reference Offset:  ['3','141'] | Reference Text:  <S sid = 3 ssid = >We are now considering an approach for computing sentence importance based on the concept of eigenvector centrality (prestige) that we call LexPageRank.</S><S sid = 141 ssid = >We have presented a novel approach to define sentence centrality based on graph-based prestige scoring of sentences.</S> | Discourse Facet:  NA | Annotator: Automatic


