Citance Number: 1 | Reference Article:  I05-3027.txt | Citing Article:  P06-2123.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In the results of the closed test in Bakeoff 2005 (Emerson, 2005), the work of (Tseng et al, 2005), using CRFs for the IOB tagging, yielded a very high R-oov in all of the four corpora used, but the R-iv rates were lower.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We present a Chinese word seg mentation system submitted to the closed track of Sighan bakeoff 2005.</S><S sid = NA ssid = NA>A Conditional Random Field Word Segmenter for Sighan Bakeoff 2005</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  I05-3027.txt | Citing Article:  P06-2123.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Using the same approach as in (Tseng et al, 2005), we extracted the most frequent words tagged with 'B', indicating a prefix, and the last words tagged with 'I', denoting a suffix.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>is two words.</S><S sid = NA ssid = NA>However, it over generalized to words with frequent suffixes such as ??</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  I05-3027.txt | Citing Article:  P14-1106.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For training we use 1.6M sentence pairs of the non-UN and non-HK Hansards portions of NISTMT training corpora, segmented with the Stanford segmenter (Tseng et al, 2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Both of these corpora have words that have more characters than HK and PK.</S><S sid = NA ssid = NA>Finally, some errors are due to inconsistencies in the gold segmentation of non-hanzi char acter.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  I05-3027.txt | Citing Article:  E09-1031.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Tseng et al, 2005) achieve an SF of 95.0%, 95.3% and 86.3% on PKU data from the Sighan Bakeoff 2005, PKU data from the Sighan Bakeoff 2003 and CTB data from the Sighan Bakeoff 2003 respectively.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Table 2 Comparisons of Peng et al (2004) and our F score on the closed track in Sighan bakeoff 2003 Sighan Bakeoff 2003 Our F-score F-score Peng et al (2004) CTB 0.863 0.849 AS 0.970 0.956 HK 0.947 0.928 PK 0.953 0.941 3.2.2 Results on Sighan bakeoff 2005 Our final system achieved a F-score of 0.947 (AS), 0.943 (HK), 0.950 (PK) and 0.964 (MSR).</S><S sid = NA ssid = NA>A Conditional Random Field Word Segmenter for Sighan Bakeoff 2005</S> | Discourse Facet:  NA | Annotator: Automatic


