Citance Number: 1 | Reference Article:  P08-1101.txt | Citing Article:  P09-1058.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['66','180'] | Reference Text:  <S sid = 66 ssid = >All features are treated equally and processed together according to the linear model, regardless of whether they are from the baseline segmentor or tagger.</S><S sid = 180 ssid = >This work is supported by the ORS and Clarendon Fund.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P08-1101.txt | Citing Article:  P09-1058.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Zhang and Clark (2008) generated CTB 3.0 from CTB 4.0.</S> | Reference Offset:  ['124','161'] | Reference Text:  <S sid = 124 ssid = >The Chinese Treebank (CTB) 4 is used for the experiments.</S><S sid = 161 ssid = >However, the comparison is indirect because our partitions of the CTB corpus are different.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P08-1101.txt | Citing Article:  P09-1058.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Zhang and Clark (2008) indicated that their results cannot directly compare to the results of Shi and Wang (2007) due to different experimental settings.</S> | Reference Offset:  ['27','158'] | Reference Text:  <S sid = 27 ssid = >Shi and Wang (2007) introduced POS information to segmentation by reranking.</S><S sid = 158 ssid = >The overall tagging accuracy of our joint model was comparable to but less than the joint model of Shi and Wang (2007).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P08-1101.txt | Citing Article:  P09-1058.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We decided to follow the experimental settings of Jiang et al (2008a; 2008b) on CTB 5.0 and Zhang and Clark (2008) on CTB 4.0 since they reported the best performances on joint word segmentation and POS tagging using the training materials only derived from the corpora.</S> | Reference Offset:  ['0','50'] | Reference Text:  <S sid = 0 ssid = >Joint Word Segmentation and POS Tagging Using a Single Perceptron</S><S sid = 50 ssid = >Other morphological features from Tseng et al. (2005) are not used because they require extra web corpora besides the training data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P08-1101.txt | Citing Article:  P09-1058.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Following Zhang and Clark (2008), we first generated CTB 3.0 from CTB 4.0 using sentence IDs.</S> | Reference Offset:  ['124','150'] | Reference Text:  <S sid = 124 ssid = >The Chinese Treebank (CTB) 4 is used for the experiments.</S><S sid = 150 ssid = >Following Ng and Low (2004), we partition the sentences in CTB 3, ordered by sentence ID, into 10 groups evenly.</S> | Discourse Facet:  NA | Annotator: Automatic


