Citance Number: 1 | Reference Article:  D07-1109.txt | Citing Article:  C10-2029.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Work such as (Cai et al, 2007) or (Boyd-Graber et al., 2007) use the document-level topics extracted with Latent Dirichlet Allocation (LDA) as indicators of meanings for word sense disambiguation.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>These properties allow us to develop LDAWN, which is a fusion of these WORDNET-WALKs and latent Dirichlet alocation (LDA) (Blei et al, 2003),a probabilistic model of documents that is an im provement to pLSI (Hofmann, 1999).</S><S sid = NA ssid = NA>A Topic Model for Word Sense Disambiguation</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  D07-1109.txt | Citing Article:  P12-2054.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Abney and Light (1999) used tree structured multinomials to model selectional restrictions, which was later put into a Bayesian context for topic modeling (Boyd-Graber et al, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>the usage of ambiguous terms in selectional restrictions.</S><S sid = NA ssid = NA>This is equivalent to the need for balancing as noted by Abney and Light (1999).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  D07-1109.txt | Citing Article:  P10-1045.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Boyd-Graber et al (2007) integrate a model of random walks on the WordNet graph into an LDA topic model to build an unsupervised word sense disambiguation system.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A Topic Model for Word Sense Disambiguation</S><S sid = NA ssid = NA>We develop latent Dirichlet alocation with WORDNET (LDAWN), an unsupervised probabilistic topic model that includes word sense as a hidden variable.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  D07-1109.txt | Citing Article:  S12-1025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Boyd-Graber et al (2007) describe a related topic model, LDAWN, for word sense disambiguation that adds an intermediate layer of latent variables Z on which the Markov model parameters are conditioned.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A Topic Model for Word Sense Disambiguation</S><S sid = NA ssid = NA>In thecase of LDAWN, the hidden variables are the parameters of the K WORDNET-WALKs, the topic assign ments of each word in the collection, and the synset path of each word.</S> | Discourse Facet:  NA | Annotator: Automatic


