Citance Number: 1 | Reference Article:  D09-1098.txt | Citing Article:  D09-1025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Full algorithmic details are presented in (Pantel et al, 2009).</S> | Reference Offset:  ['8','41'] | Reference Text:  <S sid = 8 ssid = >2008) and textual advertising (Chang et al. 2009).</S><S sid = 41 ssid = >Etzioni et al. (2005) and Pantel et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  D09-1098.txt | Citing Article:  D09-1025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['57','183'] | Reference Text:  <S sid = 57 ssid = >Let PMI(w) denote a pointwise mutual information vector, constructed for each term as follows: PMI(w) = (pmiw1, pmiw2, ..., pmiwm), where pmiwf is the pointwise mutual information between term w and feature f: where cwf is the frequency of feature f occurring for term w, n is the number of unique terms and N is the total number of features for all terms.</S><S sid = 183 ssid = >Finally, we release to the community a testbed for experimentally analyzing automatic set expansion, which includes a large collection of nearly random entity sets extracted from Wikipedia and over 22,000 randomly sampled seed expansion trials.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  D09-1098.txt | Citing Article:  D09-1025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >KE dis alone, a state-of-the-art distributional system implementing (Pantel et al, 2009), where the Ranker assigns scores to instances using the similarity score returned by KE dis alone.</S> | Reference Offset:  ['41','182'] | Reference Text:  <S sid = 41 ssid = >Etzioni et al. (2005) and Pantel et al.</S><S sid = 182 ssid = >We evaluated the impact of the large similarity matrix on a set expansion task and found that the Web similarity matrix gave a large performance boost over a state-of-the-art expansion algorithm using Wikipedia.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  D09-1098.txt | Citing Article:  P14-1058.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Distributional representations of words have been successfully used in many language processing tasks such as entity set expansion (Pantel et al,2009), part-of-speech (POS) tagging and chunking (Huang and Yates, 2009), ontology learning (Curran, 2005), computing semantic textual similarity (Besanc? on et al, 1999), and lexical inference (Kotlerman et al, 2012).</S> | Reference Offset:  ['8','41'] | Reference Text:  <S sid = 8 ssid = >2008) and textual advertising (Chang et al. 2009).</S><S sid = 41 ssid = >Etzioni et al. (2005) and Pantel et al.</S> | Discourse Facet:  NA | Annotator: Automatic


