Citance Number: 1 | Reference Article:  D10-1048.txt | Citing Article:  P11-1079.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['64','206'] | Reference Text:  <S sid = 64 ssid = >In a significant departure from previous work, each model in our framework gets (possibly incomplete) clustering information for each mention from the earlier coreference models in the multi-pass system.</S><S sid = 206 ssid = >We also thank Nicholas Rizzolo and Dan Roth for helping us replicate their experimental setup, and Heng Ji and Dekang Lin for providing their gender lexicon.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  D10-1048.txt | Citing Article:  P14-1016.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Instead, we use a sieve-based greedy search approach to inference (shown in Figure 3) inspired by recent work on coreference resolution (Raghunathan et al, 2010).</S> | Reference Offset:  ['0','10'] | Reference Text:  <S sid = 0 ssid = >A Multi-Pass Sieve for Coreference Resolution</S><S sid = 10 ssid = >Recent work on coreference resolution has shown that a rich feature space that models lexical, syntactic, semantic, and discourse phenomena is crucial to successfully address the task (Bengston and Roth, 2008; Haghighi and Klein, 2009; Haghighi and Klein, 2010).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  D10-1048.txt | Citing Article:  W12-4514.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our system is an extension of Stanford's multi-pass sieve system, (Raghunathan et al, 2010) and (Lee et al, 2011), by adding novel constraints and sieves.</S> | Reference Offset:  ['0','142'] | Reference Text:  <S sid = 0 ssid = >A Multi-Pass Sieve for Coreference Resolution</S><S sid = 142 ssid = >To measure the contribution of our multi-pass system, we also present results from a single-pass variant of our system that uses all applicable features from the multi-pass system (marked as “single pass” in the table).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  D10-1048.txt | Citing Article:  W12-4514.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In contrast, (Raghunathan et al, 2010) proposed a rule based model which obtained competitive result with less time.</S> | Reference Offset:  ['83','197'] | Reference Text:  <S sid = 83 ssid = >One exception to this rule is the model deployed in the first pass; it only links mentions if their entire extents match exactly.</S><S sid = 197 ssid = >Our sieve architecture applies a battery of deterministic coreference models one at a time from highest to lowest precision, where each model builds on the previous model’s cluster output.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  D10-1048.txt | Citing Article:  W11-1902.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We made three considerable extensions to the Raghunathan et al (2010) model.</S> | Reference Offset:  ['37','62'] | Reference Text:  <S sid = 37 ssid = >This theory is known by different names in many NLP applications: Brown et al. (1993) used simple models as “stepping stones” for more complex word alignment models; Collins (1999) used “cautious” decision list learning for named entity classification; Spitkovsky et al.</S><S sid = 62 ssid = >Subjects are more probable antecedents for pronouns (Kertz et al., 2006).</S> | Discourse Facet:  NA | Annotator: Automatic


