Citance Number: 1 | Reference Article:  H05-1004.txt | Citing Article:  H05-1083.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For this reason, we compute an unweighted entity-constrained mention F-measure (Luo, 2005) and report all contrastive experiments with this metric.</S> | Reference Offset:  ['1','4'] | Reference Text:  <S sid = 1 ssid = >The paper proposes a Constrained Entity Alignment F-Measure (CEAF) for evaluatingcoreference resolution.</S><S sid = 4 ssid = >Comparative experiments are conducted to show that the widely known MUC F-measure has serious flaws in evaluating a coreference system.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  H05-1004.txt | Citing Article:  H05-1083.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >But the metric has a systematic bias for systems generating fewer entities (Bagga and Baldwin, 1998) - see Luo (2005).</S> | Reference Offset:  ['2','5'] | Reference Text:  <S sid = 2 ssid = >The metric is com puted by aligning reference and system entities (or coreference chains) with the constraint that a system (reference) entity is aligned with at most one reference (system) entity.</S><S sid = 5 ssid = >The proposed metric is also compared with the ACE-Value, the official evaluation metric in the AutomaticContent Extraction (ACE) task, and we con clude that the proposed metric possesses someproperties such as symmetry and better inter pretability missing in the ACE-Value.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  H05-1004.txt | Citing Article:  P14-2006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Following the timely emphasis on end-to-end evaluation, the official track used predicted mentions and measured performance using five coreference measures: MUC (Vilain et al, 1995), B 3 (Bagga and Baldwin, 1998), CEAF e (Luo, 2005), CEAF m (Luo, 2005), and BLANC (Recasens and Hovy, 2011).</S> | Reference Offset:  ['14','16'] | Reference Text:  <S sid = 14 ssid = >It is worth pointing out that the entity definition here is different from what used in the Message Understanding Conference (MUC) task (MUC, 1995; MUC, 1998) ? ACE entity is called coreference chain or equivalence class in MUC, and ACE mention is called entity in MUC.</S><S sid = 16 ssid = >A good performance metric should have the following two properties:</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  H05-1004.txt | Citing Article:  P14-2006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >However, it turns out that the CEAF metric (Luo, 2005) was always intended to work seamlessly on predicted mentions, and so has been the case with the B 3 metric.</S> | Reference Offset:  ['5','16'] | Reference Text:  <S sid = 5 ssid = >The proposed metric is also compared with the ACE-Value, the official evaluation metric in the AutomaticContent Extraction (ACE) task, and we con clude that the proposed metric possesses someproperties such as symmetry and better inter pretability missing in the ACE-Value.</S><S sid = 16 ssid = >A good performance metric should have the following two properties:</S> | Discourse Facet:  NA | Annotator: Automatic


